"","Plant","row","plant_n","DTA","DTS","ASI","Cas9","PLA","genotype"
"626","179_13","179","13",58,63,-5,"Positive","Positive","het"
"627","179_14","179","14",60,63,-3,"Positive","Positive","het"
"628","179_15","179","15",59,62,-3,"Positive","Positive","het"
"629","180_1","180","1",NA,63,NA,"Positive","Negative","wt"
"630","180_2","180","2",63,64,-1,"Positive","Negative","wt"
"631","180_3","180","3",60,62,-2,"Positive","Negative","wt"
"632","180_4","180","4",61,64,-3,"Positive","Negative","wt"
"633","180_5","180","5",59,NA,NA,"Positive","Negative","wt"
"634","180_6","180","6",58,63,-5,"Positive","Negative","wt"
"635","180_7","180","7",62,NA,NA,"Positive","Negative","wt"
"636","180_8","180","8",60,64,-4,"Positive","Negative","wt"
"637","180_9","180","9",60,64,-4,"Positive","Negative","wt"
"638","180_10","180","10",60,63,-3,"Positive","Negative","wt"
"639","180_11","180","11",63,NA,NA,"Positive","Negative","wt"
"640","180_12","180","12",59,63,-4,"Positive","Negative","wt"
"641","180_13","180","13",60,61,-1,"Positive","Negative","wt"
"642","180_14","180","14",63,NA,NA,"Positive","Negative","wt"
"643","180_15","180","15",60,63,-3,"Positive","Negative","wt"
"644","180_16","180","16",60,63,-3,"Positive","Negative","wt"
"645","180_17","180","17",62,63,-1,"Positive","Negative","wt"
"646","181_1","181","1",61,62,-1,"Positive","Positive","mut"
"647","181_2","181","2",61,64,-3,"Positive","Positive","mut"
"648","181_3","181","3",58,61,-3,"Positive","Positive","mut"
"649","181_4","181","4",59,61,-2,"Positive","Positive","mut"
"650","181_5","181","5",NA,NA,NA,"Positive","Positive","mut"
"651","181_6","181","6",63,NA,NA,"Positive","Positive","mut"
"652","181_7","181","7",59,61,-2,"Positive","Positive","mut"
"653","181_8","181","8",64,NA,NA,"Positive","Positive","mut"
"654","181_9","181","9",59,64,-5,"Positive","Positive","mut"
"655","181_10","181","10",57,60,-3,"Positive","Positive","mut"
"656","181_11","181","11",61,63,-2,"Positive","Positive","mut"
"657","181_12","181","12",61,63,-2,"Positive","Positive","mut"
"658","181_13","181","13",63,NA,NA,"Positive","Positive","mut"
"659","181_14","181","14",61,64,-3,"Positive","Positive","mut"
"660","181_15","181","15",NA,NA,NA,"Positive","Positive","mut"
"661","181_16","181","16",63,NA,NA,"Positive","Positive","mut"
"662","181_17","181","17",61,63,-2,"Positive","Positive","mut"
"663","181_18","181","18",60,63,-3,"Positive","Positive","mut"
"664","181_19","181","19",60,63,-3,"Positive","Positive","mut"
"665","181_20","181","20",60,62,-2,"Positive","Positive","mut"
"666","182_1","182","1",NA,NA,NA,"Positive","Negative","wt"
"667","182_2","182","2",NA,64,NA,"Positive","Negative","wt"
"668","182_3","182","3",60,62,-2,"Positive","Negative","wt"
"669","182_4","182","4",62,NA,NA,"Positive","Negative","wt"
"670","182_5","182","5",62,64,-2,"Positive","Negative","wt"
"671","182_6","182","6",61,NA,NA,"Positive","Negative","wt"
"672","182_7","182","7",60,62,-2,"Positive","Negative","wt"
"673","182_8","182","8",60,64,-4,"Positive","Negative","wt"
"674","182_9","182","9",57,58,-1,"Positive","Negative","wt"
"675","182_10","182","10",58,60,-2,"Positive","Negative","wt"
"676","182_11","182","11",60,61,-1,"Positive","Negative","wt"
"677","182_12","182","12",58,60,-2,"Positive","Negative","wt"
"678","182_13","182","13",NA,NA,NA,"Positive","Negative","wt"
"679","182_14","182","14",59,61,-2,"Positive","Negative","wt"
"680","182_15","182","15",60,63,-3,"Positive","Negative","wt"
"681","182_16","182","16",62,NA,NA,"Positive","Negative","wt"
"682","182_17","182","17",60,64,-4,"Positive","Negative","wt"
"683","182_18","182","18",60,61,-1,"Positive","Negative","wt"
"684","182_19","182","19",59,61,-2,"Positive","Negative","wt"
"685","182_20","182","20",58,61,-3,"Positive","Negative","wt"
"686","183_1","183","1",61,64,-3,"Positive","Positive","het"
"687","183_2","183","2",64,NA,NA,"Positive","Positive","het"
"688","183_3","183","3",58,63,-5,"Positive","Positive","het"
"689","183_4","183","4",59,62,-3,"Positive","Positive","het"
"690","183_5","183","5",58,60,-2,"Positive","Positive","het"
"691","183_6","183","6",61,63,-2,"Positive","Positive","het"
"692","183_7","183","7",61,NA,NA,"Positive","Positive","het"
"693","183_8","183","8",62,64,-2,"Positive","Positive","het"
"694","183_9","183","9",64,NA,NA,"Positive","Positive","het"
"695","183_10","183","10",60,64,-4,"Positive","Positive","het"
"696","183_11","183","11",60,63,-3,"Positive","Positive","het"
"697","183_12","183","12",60,63,-3,"Positive","Positive","het"
"698","183_13","183","13",60,62,-2,"Positive","Positive","het"
"699","183_14","183","14",61,64,-3,"Positive","Positive","het"
"700","183_15","183","15",59,62,-3,"Positive","Positive","het"
"701","183_16","183","16",61,64,-3,"Positive","Positive","het"
"702","183_17","183","17",61,64,-3,"Positive","Positive","het"
"703","183_18","183","18",62,64,-2,"Positive","Positive","het"
"704","183_19","183","19",63,64,-1,"Positive","Positive","het"
"705","184_1","184","1",60,61,-1,"Positive","Negative","wt"
"706","184_2","184","2",60,60,0,"Positive","Negative","wt"
"707","184_3","184","3",60,62,-2,"Positive","Negative","wt"
"708","184_4","184","4",64,62,2,"Positive","Negative","wt"
"709","184_5","184","5",60,62,-2,"Positive","Negative","wt"
"710","184_6","184","6",60,62,-2,"Positive","Negative","wt"
"711","184_7","184","7",59,60,-1,"Positive","Negative","wt"
"712","184_8","184","8",57,59,-2,"Positive","Negative","wt"
"713","184_9","184","9",58,60,-2,"Positive","Negative","wt"
"714","184_10","184","10",58,60,-2,"Positive","Negative","wt"
"715","184_11","184","11",59,62,-3,"Positive","Negative","wt"
"716","184_12","184","12",57,59,-2,"Positive","Negative","wt"
"717","184_13","184","13",60,62,-2,"Positive","Negative","wt"
"718","184_14","184","14",60,61,-1,"Positive","Negative","wt"
"719","184_15","184","15",61,63,-2,"Positive","Negative","wt"
"720","184_16","184","16",60,61,-1,"Positive","Negative","wt"
"721","184_17","184","17",60,61,-1,"Positive","Negative","wt"
"722","185_1","185","1",59,62,-3,"Positive","Positive","het"
"723","185_2","185","2",60,61,-1,"Positive","Positive","het"
"724","185_3","185","3",60,63,-3,"Positive","Positive","het"
"725","185_4","185","4",61,63,-2,"Positive","Positive","het"
"726","185_5","185","5",61,63,-2,"Positive","Positive","het"
"727","185_6","185","6",59,62,-3,"Positive","Positive","het"
"728","185_7","185","7",60,61,-1,"Positive","Positive","het"
"729","185_8","185","8",60,62,-2,"Positive","Positive","het"
"730","185_9","185","9",62,64,-2,"Positive","Positive","het"
"731","185_10","185","10",60,62,-2,"Positive","Positive","het"
"732","185_11","185","11",60,61,-1,"Positive","Positive","het"
"733","185_12","185","12",60,61,-1,"Positive","Positive","het"
"734","185_13","185","13",62,62,0,"Positive","Positive","het"
"735","185_14","185","14",NA,NA,NA,"Positive","Positive","het"
"736","186_1","186","1",64,64,0,"Positive","Negative","wt"
"737","186_2","186","2",63,64,-1,"Positive","Negative","wt"
"738","186_3","186","3",61,64,-3,"Positive","Negative","wt"
"739","186_4","186","4",59,61,-2,"Positive","Negative","wt"
"740","186_5","186","5",61,63,-2,"Positive","Negative","wt"
"741","186_6","186","6",61,62,-1,"Positive","Negative","wt"
"742","186_7","186","7",61,64,-3,"Positive","Negative","wt"
"743","186_8","186","8",60,64,-4,"Positive","Negative","wt"
"744","186_9","186","9",60,62,-2,"Positive","Negative","wt"
"745","186_10","186","10",59,61,-2,"Positive","Negative","wt"
"746","186_11","186","11",NA,NA,NA,"Positive","Negative","wt"
"747","186_12","186","12",60,62,-2,"Positive","Negative","wt"
"748","186_13","186","13",60,62,-2,"Positive","Negative","wt"
"749","186_14","186","14",62,64,-2,"Positive","Negative","wt"
"750","186_15","186","15",59,60,-1,"Positive","Negative","wt"
"751","186_16","186","16",60,63,-3,"Positive","Negative","wt"
"752","186_17","186","17",60,63,-3,"Positive","Negative","wt"
"753","187_1","187","1",64,NA,NA,"Positive","Positive","het"
"754","187_2","187","2",62,65,-3,"Positive","Positive","het"
"755","187_3","187","3",62,64,-2,"Positive","Positive","het"
"756","187_4","187","4",NA,NA,NA,"Positive","Positive","het"
"757","187_5","187","5",61,65,-4,"Positive","Positive","het"
"758","187_6","187","6",60,62,-2,"Positive","Positive","het"
"759","187_7","187","7",60,63,-3,"Positive","Positive","het"
"760","187_8","187","8",60,62,-2,"Positive","Positive","het"
"761","187_9","187","9",60,63,-3,"Positive","Positive","het"
"762","187_10","187","10",62,64,-2,"Positive","Positive","het"
"763","187_11","187","11",63,65,-2,"Positive","Positive","het"
"764","187_12","187","12",NA,NA,NA,"Positive","Positive","het"
"765","187_13","187","13",64,64,0,"Positive","Positive","het"
"766","187_14","187","14",60,62,-2,"Positive","Positive","het"
"767","187_15","187","15",NA,NA,NA,"Positive","Positive","het"
"768","187_16","187","16",64,NA,NA,"Positive","Positive","het"
"769","187_17","187","17",64,NA,NA,"Positive","Positive","het"
"770","188_1","188","1",64,NA,NA,"Positive","Negative","wt"
"771","188_2","188","2",61,62,-1,"Positive","Negative","wt"
"772","188_3","188","3",60,62,-2,"Positive","Negative","wt"
"773","188_4","188","4",64,NA,NA,"Positive","Negative","wt"
"774","188_5","188","5",62,64,-2,"Positive","Negative","wt"
"775","188_6","188","6",60,62,-2,"Positive","Negative","wt"
"776","188_7","188","7",61,64,-3,"Positive","Negative","wt"
"777","188_8","188","8",60,63,-3,"Positive","Negative","wt"
"778","188_9","188","9",62,NA,NA,"Positive","Negative","wt"
"779","188_10","188","10",62,NA,NA,"Positive","Negative","wt"
"780","188_11","188","11",60,64,-4,"Positive","Negative","wt"
"781","188_12","188","12",61,63,-2,"Positive","Negative","wt"
"782","188_13","188","13",61,64,-3,"Positive","Negative","wt"
"783","188_14","188","14",61,64,-3,"Positive","Negative","wt"
"784","188_15","188","15",59,63,-4,"Positive","Negative","wt"
"785","188_16","188","16",63,64,-1,"Positive","Negative","wt"
"786","188_17","188","17",62,63,-1,"Positive","Negative","wt"
"787","189_1","189","1",63,NA,NA,"Positive","Positive","mut"
"788","189_2","189","2",NA,NA,NA,"Positive","Positive","mut"
"789","189_3","189","3",57,61,-4,"Positive","Positive","mut"
"790","189_4","189","4",60,63,-3,"Positive","Positive","mut"
"791","189_5","189","5",61,64,-3,"Positive","Positive","mut"
"792","189_6","189","6",60,63,-3,"Positive","Positive","mut"
"793","189_7","189","7",62,64,-2,"Positive","Positive","mut"
"794","189_8","189","8",60,63,-3,"Positive","Positive","mut"
"795","189_9","189","9",61,64,-3,"Positive","Positive","mut"
"796","189_10","189","10",63,NA,NA,"Positive","Positive","mut"
"797","189_11","189","11",58,61,-3,"Positive","Positive","mut"
"798","189_12","189","12",59,61,-2,"Positive","Positive","mut"
"799","189_13","189","13",62,NA,NA,"Positive","Positive","mut"
"800","189_14","189","14",61,NA,NA,"Positive","Positive","mut"
"801","189_15","189","15",60,62,-2,"Positive","Positive","mut"
"802","189_16","189","16",62,64,-2,"Positive","Positive","mut"
"803","189_17","189","17",60,62,-2,"Positive","Positive","mut"
"804","189_18","189","18",58,61,-3,"Positive","Positive","mut"
"805","190_1","190","1",63,64,-1,"Positive","Negative","wt"
"806","190_2","190","2",58,61,-3,"Positive","Negative","wt"
"807","190_3","190","3",61,63,-2,"Positive","Negative","wt"
"808","190_4","190","4",57,61,-4,"Positive","Negative","wt"
"809","190_5","190","5",57,60,-3,"Positive","Negative","wt"
"810","190_6","190","6",59,63,-4,"Positive","Negative","wt"
"811","190_7","190","7",59,60,-1,"Positive","Negative","wt"
"812","190_8","190","8",NA,61,NA,"Positive","Negative","wt"
"813","190_9","190","9",58,61,-3,"Positive","Negative","wt"
"814","190_10","190","10",57,59,-2,"Positive","Negative","wt"
"815","190_11","190","11",60,62,-2,"Positive","Negative","wt"
"816","190_12","190","12",NA,62,NA,"Positive","Negative","wt"
"817","190_13","190","13",60,63,-3,"Positive","Negative","wt"
"818","190_14","190","14",58,64,-6,"Positive","Negative","wt"
"819","190_15","190","15",59,60,-1,"Positive","Negative","wt"
"820","190_16","190","16",60,60,0,"Positive","Negative","wt"
"821","190_17","190","17",61,63,-2,"Positive","Negative","wt"
"822","190_18","190","18",60,63,-3,"Positive","Negative","wt"
"823","191_1","191","1",57,61,-4,"Positive","Positive","het"
"824","191_2","191","2",60,63,-3,"Positive","Positive","het"
"825","191_3","191","3",58,61,-3,"Positive","Positive","het"
"826","191_4","191","4",59,62,-3,"Positive","Positive","het"
"827","191_5","191","5",64,NA,NA,"Positive","Positive","het"
"828","191_6","191","6",58,62,-4,"Positive","Positive","het"
"829","191_7","191","7",60,NA,NA,"Positive","Positive","het"
"830","191_8","191","8",58,NA,NA,"Positive","Positive","het"
"831","191_9","191","9",61,64,-3,"Positive","Positive","het"
"832","191_10","191","10",58,64,-6,"Positive","Positive","het"
"833","191_11","191","11",59,63,-4,"Positive","Positive","het"
"834","191_12","191","12",58,63,-5,"Positive","Positive","het"
"835","191_13","191","13",60,63,-3,"Positive","Positive","het"
"836","191_14","191","14",60,NA,NA,"Positive","Positive","het"
"837","191_15","191","15",61,NA,NA,"Positive","Positive","het"
"838","191_16","191","16",60,NA,NA,"Positive","Positive","het"
"839","191_17","191","17",60,63,-3,"Positive","Positive","het"
"840","191_18","191","18",62,64,-2,"Positive","Positive","het"
"841","191_19","191","19",63,64,-1,"Positive","Positive","het"
"842","191_20","191","20",60,64,-4,"Positive","Positive","het"
"843","192_1","192","1",64,64,0,"Positive","Negative","wt"
"844","192_2","192","2",56,58,-2,"Positive","Negative","wt"
"845","192_3","192","3",57,59,-2,"Positive","Negative","wt"
"846","192_4","192","4",56,58,-2,"Positive","Negative","wt"
"847","192_5","192","5",56,59,-3,"Positive","Negative","wt"
"848","192_6","192","6",57,60,-3,"Positive","Negative","wt"
"849","192_7","192","7",58,58,0,"Positive","Negative","wt"
"850","192_8","192","8",61,63,-2,"Positive","Negative","wt"
"851","192_9","192","9",60,61,-1,"Positive","Negative","wt"
"852","192_10","192","10",60,60,0,"Positive","Negative","wt"
"853","192_11","192","11",61,63,-2,"Positive","Negative","wt"
"854","192_12","192","12",62,63,-1,"Positive","Negative","wt"
"855","192_13","192","13",60,61,-1,"Positive","Negative","wt"
"856","192_14","192","14",60,61,-1,"Positive","Negative","wt"
"857","192_15","192","15",60,60,0,"Positive","Negative","wt"
"858","193_1","193","1",63,NA,NA,"Positive","Positive","het"
"859","193_2","193","2",60,63,-3,"Positive","Positive","het"
"860","193_3","193","3",58,61,-3,"Positive","Positive","het"
"861","193_4","193","4",60,62,-2,"Positive","Positive","het"
"862","193_5","193","5",59,63,-4,"Positive","Positive","het"
"863","193_6","193","6",58,62,-4,"Positive","Positive","het"
"864","193_7","193","7",59,61,-2,"Positive","Positive","het"
"865","193_8","193","8",59,60,-1,"Positive","Positive","het"
"866","193_9","193","9",58,60,-2,"Positive","Positive","het"
"867","193_10","193","10",62,64,-2,"Positive","Positive","het"
"868","193_11","193","11",59,62,-3,"Positive","Positive","het"
"869","193_12","193","12",58,62,-4,"Positive","Positive","het"
"870","193_13","193","13",60,62,-2,"Positive","Positive","het"
"871","193_14","193","14",NA,NA,NA,"Positive","Positive","het"
"872","193_15","193","15",NA,NA,NA,"Positive","Positive","het"
"873","193_16","193","16",60,62,-2,"Positive","Positive","het"
"874","194_1","194","1",NA,NA,NA,"Positive","Negative","wt"
"875","194_2","194","2",60,62,-2,"Positive","Negative","wt"
"876","194_3","194","3",60,63,-3,"Positive","Negative","wt"
"877","194_4","194","4",58,61,-3,"Positive","Negative","wt"
"878","194_5","194","5",58,63,-5,"Positive","Negative","wt"
"879","194_6","194","6",59,61,-2,"Positive","Negative","wt"
"880","194_7","194","7",60,62,-2,"Positive","Negative","wt"
"881","194_8","194","8",59,63,-4,"Positive","Negative","wt"
"882","194_9","194","9",58,60,-2,"Positive","Negative","wt"
"883","194_10","194","10",NA,NA,NA,"Positive","Negative","wt"
"884","194_11","194","11",57,60,-3,"Positive","Negative","wt"
"885","194_12","194","12",58,60,-2,"Positive","Negative","wt"
"886","194_13","194","13",64,63,1,"Positive","Negative","wt"
"887","194_14","194","14",60,62,-2,"Positive","Negative","wt"
"888","194_15","194","15",60,63,-3,"Positive","Negative","wt"
"889","194_16","194","16",60,NA,NA,"Positive","Negative","wt"
"890","194_17","194","17",62,64,-2,"Positive","Negative","wt"
"891","194_18","194","18",NA,NA,NA,"Positive","Negative","wt"
"892","195_1","195","1",59,61,-2,"Positive","Positive","het"
"893","195_2","195","2",61,63,-2,"Positive","Positive","het"
"894","195_3","195","3",61,64,-3,"Positive","Positive","het"
"895","195_4","195","4",57,60,-3,"Positive","Positive","het"
"896","195_5","195","5",59,63,-4,"Positive","Positive","het"
"897","195_6","195","6",60,64,-4,"Positive","Positive","het"
"898","195_7","195","7",60,64,-4,"Positive","Positive","het"
"899","195_8","195","8",57,61,-4,"Positive","Positive","het"
"900","195_9","195","9",57,60,-3,"Positive","Positive","het"
"901","195_10","195","10",58,61,-3,"Positive","Positive","het"
"902","195_11","195","11",57,62,-5,"Positive","Positive","het"
"903","195_12","195","12",59,62,-3,"Positive","Positive","het"
"904","195_13","195","13",60,63,-3,"Positive","Positive","het"
"905","195_14","195","14",60,64,-4,"Positive","Positive","het"
"906","195_15","195","15",60,62,-2,"Positive","Positive","het"
"907","195_16","195","16",60,63,-3,"Positive","Positive","het"
"908","195_17","195","17",61,62,-1,"Positive","Positive","het"
"909","196_1","196","1",59,61,-2,"Positive","Negative","wt"
"910","196_2","196","2",59,61,-2,"Positive","Negative","wt"
"911","196_3","196","3",58,62,-4,"Positive","Negative","wt"
"912","196_4","196","4",59,64,-5,"Positive","Negative","wt"
"913","196_5","196","5",59,63,-4,"Positive","Negative","wt"
"914","196_6","196","6",NA,63,NA,"Positive","Negative","wt"
"915","196_7","196","7",61,63,-2,"Positive","Negative","wt"
"916","196_8","196","8",58,64,-6,"Positive","Negative","wt"
"917","196_9","196","9",58,61,-3,"Positive","Negative","wt"
"918","196_10","196","10",58,62,-4,"Positive","Negative","wt"
"919","196_11","196","11",59,62,-3,"Positive","Negative","wt"
"920","196_12","196","12",57,61,-4,"Positive","Negative","wt"
"921","196_13","196","13",60,NA,NA,"Positive","Negative","wt"
"922","196_14","196","14",60,63,-3,"Positive","Negative","wt"
"923","196_15","196","15",58,63,-5,"Positive","Negative","wt"
"924","196_16","196","16",58,62,-4,"Positive","Negative","wt"
"925","196_17","196","17",57,61,-4,"Positive","Negative","wt"
"926","196_18","196","18",57,62,-5,"Positive","Negative","wt"
"927","196_19","196","19",58,60,-2,"Positive","Negative","wt"
"928","197_1","197","1",58,62,-4,"Positive","Positive","mut"
"929","197_2","197","2",58,61,-3,"Positive","Positive","mut"
"930","197_3","197","3",59,62,-3,"Positive","Positive","mut"
"931","197_4","197","4",59,61,-2,"Positive","Positive","mut"
"932","197_5","197","5",58,61,-3,"Positive","Positive","mut"
"933","197_6","197","6",57,62,-5,"Positive","Positive","mut"
"934","197_7","197","7",59,63,-4,"Positive","Positive","mut"
"935","197_8","197","8",61,64,-3,"Positive","Positive","mut"
"936","197_9","197","9",58,64,-6,"Positive","Positive","mut"
"937","197_10","197","10",60,63,-3,"Positive","Positive","mut"
"938","197_11","197","11",57,63,-6,"Positive","Positive","mut"
"939","197_12","197","12",60,63,-3,"Positive","Positive","mut"
"940","197_13","197","13",59,62,-3,"Positive","Positive","mut"
"941","197_14","197","14",58,62,-4,"Positive","Positive","mut"
"942","197_15","197","15",56,59,-3,"Positive","Positive","mut"
"943","197_16","197","16",58,62,-4,"Positive","Positive","mut"
"944","197_17","197","17",57,59,-2,"Positive","Positive","mut"
"945","198_1","198","1",60,62,-2,"Positive","Negative","wt"
"946","198_2","198","2",56,61,-5,"Positive","Negative","wt"
"947","198_3","198","3",57,59,-2,"Positive","Negative","wt"
"948","198_4","198","4",56,58,-2,"Positive","Negative","wt"
"949","198_5","198","5",57,59,-2,"Positive","Negative","wt"
"950","198_6","198","6",56,59,-3,"Positive","Negative","wt"
"951","198_7","198","7",56,60,-4,"Positive","Negative","wt"
"952","198_8","198","8",57,60,-3,"Positive","Negative","wt"
"953","198_9","198","9",58,62,-4,"Positive","Negative","wt"
"954","198_10","198","10",57,62,-5,"Positive","Negative","wt"
"955","198_11","198","11",58,61,-3,"Positive","Negative","wt"
"956","198_12","198","12",58,61,-3,"Positive","Negative","wt"
"957","198_13","198","13",56,60,-4,"Positive","Negative","wt"
"958","198_14","198","14",57,59,-2,"Positive","Negative","wt"
"959","198_15","198","15",57,60,-3,"Positive","Negative","wt"
"960","198_16","198","16",NA,58,NA,"Positive","Negative","wt"
"961","198_17","198","17",58,60,-2,"Positive","Negative","wt"
"962","198_18","198","18",57,60,-3,"Positive","Negative","wt"
"963","198_19","198","19",57,59,-2,"Positive","Negative","wt"
"964","199_1","199","1",56,58,-2,"Negative","Negative","wt"
"965","199_2","199","2",56,58,-2,"Negative","Negative","wt"
"966","199_3","199","3",58,59,-1,"Negative","Negative","wt"
"967","199_4","199","4",57,59,-2,"Negative","Negative","wt"
"968","199_5","199","5",58,60,-2,"Negative","Negative","wt"
"969","199_6","199","6",58,60,-2,"Negative","Negative","wt"
"970","199_7","199","7",61,63,-2,"Negative","Negative","wt"
"971","199_8","199","8",58,61,-3,"Negative","Negative","wt"
"972","199_9","199","9",58,59,-1,"Negative","Negative","wt"
"973","199_10","199","10",57,59,-2,"Negative","Negative","wt"
"974","199_11","199","11",56,59,-3,"Negative","Negative","wt"
"975","199_12","199","12",56,59,-3,"Negative","Negative","wt"
"976","199_13","199","13",58,61,-3,"Negative","Negative","wt"
"977","199_14","199","14",58,59,-1,"Negative","Negative","wt"
"978","199_15","199","15",61,63,-2,"Negative","Negative","wt"
"979","199_16","199","16",57,60,-3,"Negative","Negative","wt"
"980","199_17","199","17",56,60,-4,"Negative","Negative","wt"
"981","199_18","199","18",58,59,-1,"Negative","Negative","wt"
"982","200_1","200","1",55,58,-3,"Negative","Negative","wt"
"983","200_2","200","2",57,59,-2,"Negative","Negative","wt"
"984","200_3","200","3",60,60,0,"Negative","Negative","wt"
"985","200_4","200","4",56,58,-2,"Negative","Negative","wt"
"986","200_5","200","5",58,59,-1,"Negative","Negative","wt"
"987","200_6","200","6",58,59,-1,"Negative","Negative","wt"
"988","200_7","200","7",58,58,0,"Negative","Negative","wt"
"989","200_8","200","8",62,NA,NA,"Negative","Negative","wt"
"990","200_9","200","9",63,NA,NA,"Negative","Negative","wt"
"991","200_10","200","10",58,58,0,"Negative","Negative","wt"
"992","200_11","200","11",57,60,-3,"Negative","Negative","wt"
"993","200_12","200","12",59,60,-1,"Negative","Negative","wt"
"994","200_13","200","13",64,NA,NA,"Negative","Negative","wt"
"995","200_14","200","14",56,57,-1,"Negative","Negative","wt"
"996","B6_1","B6","1",57,61,-4,"Control","Control","B104"
"997","B6_2","B6","2",58,62,-4,"Control","Control","B104"
"998","B6_3","B6","3",58,61,-3,"Control","Control","B104"
"999","B6_4","B6","4",59,62,-3,"Control","Control","B104"
"1000","B6_5","B6","5",58,64,-6,"Control","Control","B104"
"1001","B6_6","B6","6",62,NA,NA,"Control","Control","B104"
"1002","B6_7","B6","7",59,61,-2,"Control","Control","B104"
"1003","B6_8","B6","8",60,NA,NA,"Control","Control","B104"
"1004","B6_9","B6","9",57,61,-4,"Control","Control","B104"
"1005","B6_10","B6","10",59,63,-4,"Control","Control","B104"
"1006","B6_11","B6","11",62,NA,NA,"Control","Control","B104"
"1007","B6_12","B6","12",58,61,-3,"Control","Control","B104"
"1008","B6_13","B6","13",57,60,-3,"Control","Control","B104"
"1009","B6_14","B6","14",59,62,-3,"Control","Control","B104"
"1010","B6_15","B6","15",58,61,-3,"Control","Control","B104"
"1011","B6_16","B6","16",61,63,-2,"Control","Control","B104"
"1012","B6_17","B6","17",64,NA,NA,"Control","Control","B104"
"1013","B6_18","B6","18",58,NA,NA,"Control","Control","B104"
"1014","B6_19","B6","19",58,NA,NA,"Control","Control","B104"
"1015","B6_20","B6","20",58,60,-2,"Control","Control","B104"
"1016","B6_21","B6","21",57,NA,NA,"Control","Control","B104"
