gene_name
GRMZM2G368610
GRMZM2G091782
GRMZM2G001241
GRMZM2G057136
GRMZM2G064352
GRMZM2G066343
GRMZM2G097896
GRMZM2G085402
GRMZM2G029756
GRMZM2G179728
GRMZM2G059693
GRMZM2G124759
GRMZM2G022402
GRMZM2G158205
AC233916.1_FG002
GRMZM5G812425
GRMZM2G043632
GRMZM2G035421
GRMZM2G023049
GRMZM2G038075
GRMZM2G181000
GRMZM2G390678
GRMZM2G048073
GRMZM2G048458
GRMZM2G132331
GRMZM2G374475
GRMZM2G137507
GRMZM2G103937
GRMZM2G166330
GRMZM2G056988
GRMZM2G097704
GRMZM2G113238
GRMZM2G040117
GRMZM2G024211
GRMZM2G335280
GRMZM2G039792
GRMZM2G017869
GRMZM2G060866
GRMZM2G096831
GRMZM2G064594
GRMZM2G101117
GRMZM2G477743
GRMZM2G116426
GRMZM2G017080
GRMZM2G047995
GRMZM2G070178
AC155434.2_FG001
GRMZM2G331754
GRMZM2G011141
GRMZM2G700208
GRMZM5G897749
GRMZM2G099802
GRMZM2G040359
GRMZM2G117667
GRMZM2G090652
GRMZM2G080524
GRMZM2G080586
GRMZM2G400352
GRMZM5G882821
GRMZM2G414278
GRMZM2G172794
GRMZM2G058149
GRMZM2G099010
GRMZM5G818213
GRMZM2G148867
GRMZM2G116360
GRMZM2G414791
GRMZM2G105189
GRMZM5G863645
GRMZM2G087612
GRMZM2G015708
GRMZM2G034958
GRMZM5G847377
GRMZM5G818106
GRMZM2G122261
GRMZM2G152777
GRMZM2G359904
GRMZM2G018105
GRMZM2G322892
GRMZM2G004276
GRMZM2G048962
GRMZM2G080940
GRMZM2G062577
GRMZM2G129344
GRMZM2G389089
GRMZM2G141762
GRMZM2G035131
GRMZM2G353444
GRMZM2G021410
GRMZM2G134178
GRMZM2G045714
GRMZM2G169562
GRMZM2G145814
GRMZM2G406951
GRMZM2G045215
GRMZM2G478414
GRMZM2G331720
GRMZM2G153672
GRMZM2G037322
GRMZM2G092021
GRMZM2G465046
GRMZM2G461040
GRMZM2G176230
GRMZM2G033566
GRMZM2G028413
GRMZM2G172099
GRMZM2G070429
GRMZM2G117627
GRMZM2G174860
GRMZM2G047533
GRMZM2G044882
GRMZM2G073738
GRMZM2G073770
GRMZM2G063464
GRMZM2G384780
GRMZM2G174782
GRMZM2G002286
GRMZM2G148913
GRMZM2G376265
