"","Elevation","S3_8542287_fr","S5_195455216_fr","Andosol","Andosol_scaled"
"1",50,0.0782828282828283,0.108585858585859,0.0038974358974359,0.0452380952380952
"2",150,0.104938271604938,0.166666666666667,0.00530864197530864,0.0616181657848325
"3",250,0.158730158730159,0.246031746031746,0.00396825396825397,0.0460600907029478
"4",350,0.112068965517241,0.241379310344828,0.0053448275862069,0.0620381773399015
"5",450,0.115384615384615,0.192307692307692,0.00288461538461538,0.0334821428571429
"6",550,0.208333333333333,0.180555555555556,0.0161111111111111,0.187003968253968
"7",650,0.0760869565217391,0.16304347826087,0.0117391304347826,0.136257763975155
"8",750,0.166666666666667,0.0512820512820513,0.0215384615384615,0.25
"9",850,0.136363636363636,0.227272727272727,0.0187878787878788,0.218073593073593
"10",950,0.0675675675675676,0.22972972972973,0.017027027027027,0.197635135135135
"11",1050,0.230769230769231,0.307692307692308,0.0246153846153846,0.285714285714286
"12",1150,0.298076923076923,0.346153846153846,0.0186538461538462,0.216517857142857
"13",1250,0.328947368421053,0.5,0.0186842105263158,0.21687030075188
"14",1350,0.34375,0.453125,0.031875,0.369977678571429
"15",1450,0.490384615384615,0.471153846153846,0.0523076923076923,0.607142857142857
"16",1550,0.425,0.433333333333333,0.0315,0.365625
"17",1650,0.291666666666667,0.4375,0.0343055555555556,0.398189484126984
"18",1750,0.53960396039604,0.564356435643564,0.0432673267326733,0.502210042432815
"19",1850,0.600896860986547,0.600896860986547,0.0776681614349776,0.901505445227418
"20",1950,0.683544303797468,0.661392405063291,0.0532278481012658,0.617823236889693
"21",2050,0.636054421768708,0.680272108843537,0.0262585034013605,0.304786200194363
"22",2150,0.756578947368421,0.690789473684211,0.0548026315789474,0.636101973684211
"23",2250,0.8925,0.835,0.03485,0.404508928571429
"24",2350,0.884920634920635,0.765873015873016,0.0541269841269841,0.628259637188209
"25",2450,0.891891891891892,0.831081081081081,0.0628378378378378,0.729367760617761
"26",2550,0.944444444444444,0.814814814814815,0.0712962962962963,0.827546296296296
"27",2650,0.980769230769231,0.75,0.0861538461538462,1
