"ZmPla1.2","ZmPla1.2_raw","experiment","plate","well","barcode","tube_num_full","tube_num","tissue_key","tissue","ID","temp_tx","fertilizer_tx","tray","pot","line","source","tissue_stage","date_planted","emergence_date","unique_id","harvest_date","genotype","inv4m_genotype","uniqueID","file","Filename","fastqc","Total_Sequences","samp","full_geno","group"
4.27268109555556,38,"gc72","1","H12","ILLSINHA89",218,218,0,"V3 Leaf tissue","gc72182","cold","high",1,1,"PT",NA,"V3","3/2/2017","3/9/2017","cold_1_1_V3","3/23/2017","PT","Inv4m","gc72182_0","GC72_P1_ILLSINHA89_1.fq.gz","GC72_P1_ILLSINHA89_1.fq.gz","pass",4566803,"GC72_P1_ILLSINHA89","PT_Inv4m","cold_PT_Inv4m"
6.02636907534275,134,"gc72","1","G12","ILLSINHA90",234,234,0,"V3 Leaf tissue","gc72184","cold","high",1,2,"F1",NA,"V3","3/2/2017","3/8/2017","cold_1_2_V3","3/24/2017","F1","H","gc72184_0","GC72_P1_ILLSINHA90_1.fq.gz","GC72_P1_ILLSINHA90_1.fq.gz","pass",4651928,"GC72_P1_ILLSINHA90","F1_H","cold_F1_H"
1.82073588685355,6,"gc72","1","F12","ILLSINHA91",234.1,234,1,"V3 Primary root","gc72184","cold","high",1,2,"F1",NA,"V3","3/2/2017","3/8/2017","cold_1_2_V3","3/24/2017","F1","H","gc72184_1","GC72_P1_ILLSINHA91_1.fq.gz","GC72_P1_ILLSINHA91_1.fq.gz","pass",4097138,"GC72_P1_ILLSINHA91","F1_H","cold_F1_H"
-0.552695734880462,1,"gc72","1","E12","ILLSINHA92",218.1,218,1,"V3 Primary root","gc72182","cold","high",1,1,"PT",NA,"V3","3/2/2017","3/9/2017","cold_1_1_V3","3/23/2017","PT","Inv4m","gc72182_1","GC72_P1_ILLSINHA92_1.fq.gz","GC72_P1_ILLSINHA92_1.fq.gz","pass",5016235,"GC72_P1_ILLSINHA92","PT_Inv4m","cold_PT_Inv4m"
0.124918801163519,2,"gc72","1","D12","ILLSINHA93",250.1,250,1,"V3 Primary root","gc72190","cold","high",1,5,"B73",NA,"V3","3/2/2017","3/13/2017","cold_1_5_V3","3/28/2017","B73","B73","gc72190_1","GC72_P1_ILLSINHA93_1.fq.gz","GC72_P1_ILLSINHA93_1.fq.gz","pass",5051564,"GC72_P1_ILLSINHA93","B73_B73","cold_B73_B73"
3.99220873731489,14,"gc72","1","C12","ILLSINHA94",227,227,0,"V3 Leaf tissue","gc72358","cold","low",10,8,"PT",NA,"V3","3/2/2017","3/8/2017","cold_10_8_V3","3/23/2017","PT","Inv4m","gc72358_0","GC72_P1_ILLSINHA94_1.fq.gz","GC72_P1_ILLSINHA94_1.fq.gz","pass",2337521,"GC72_P1_ILLSINHA94","PT_Inv4m","cold_PT_Inv4m"
3.51940203245903,2,"gc72","1","B12","ILLSINHA95",226,226,0,"V3 Leaf tissue","gc72356","cold","low",10,7,"F1",NA,"V3","3/2/2017","3/7/2017","cold_10_7_V3","3/23/2017","F1","H","gc72356_0","GC72_P1_ILLSINHA95_1.fq.gz","GC72_P1_ILLSINHA95_1.fq.gz","pass",728663,"GC72_P1_ILLSINHA95","F1_H","cold_F1_H"
3.04522839282407,0,"gc72","1","A12","ILLSINHA96",274,274,0,"V3 Leaf tissue","gc72346","cold","low",10,2,"B73",NA,"V3","3/2/2017","3/13/2017","cold_10_2_V3","3/28/2017","B73","B73","gc72346_0","GC72_P1_ILLSINHA96_1.fq.gz","GC72_P1_ILLSINHA96_1.fq.gz","pass",121559,"GC72_P1_ILLSINHA96","B73_B73","cold_B73_B73"
4.02886945212143,30,"gc72","2","H1","ILLSINHA1",137,137,0,"V3 Leaf tissue","gc72166","warm","low",10,2,"B73",NA,"V3","3/2/2017",NA,"warm_10_2_V3","3/14/2017","B73","B73","gc72166_0","GC72_P2_ILLSINHA1_1.fq.gz","GC72_P2_ILLSINHA1_1.fq.gz","pass",3449340,"GC72_P2_ILLSINHA1","B73_B73","warm_B73_B73"
5.95800856361538,109,"gc72","2","G1","ILLSINHA2",141,141,0,"V3 Leaf tissue","gc72174","warm","low",10,6,"F1",NA,"V3","3/2/2017","3/6/2017","warm_10_6_V3","3/14/2017","F1","H","gc72174_0","GC72_P2_ILLSINHA2_1.fq.gz","GC72_P2_ILLSINHA2_1.fq.gz","pass",3043961,"GC72_P2_ILLSINHA2","F1_H","warm_F1_H"
