RILS,BLOCK,Genos,LPCs,PCs,PCs_LPCs,PC32_1-LPC_18_1,PC34_1-LPC_18_1,PC36_1-LPC_18_1,PC36_2-LPC_18_1,PC32_1-LPC_18_2,PC34_1-LPC_18_2,PC36_1-LPC_18_2,PC36_2-LPC_18_2,LPC_16_0,LPC_18_0,LPC_18_1,LPC_18_2,LPC_18_3,PC_16_0__9_0_CHO,PC_32_0,PC_32_1,PC_32_2,PC_33_2,PC_34_1,PC_34_2,PC_34_3,PC_34_4,PC_35_2,PC_35_3,PC36_1,PC_36_2,PC_36_3_A,PC_36_3_B,PC_36_4_A,PC_36_5_A,PC_38_2,PC_38_5_A,PC_p_36_3__PC_o_36_4,PE_34_2,SM_d32_1,TG_46_3,TG_48_0,TG_48_3,TG_50_1,TG_50_2,TG_50_3,TG_50_4,TG_50_5,TG_52_2,TG_52_3,TG_52_4,TG_52_5,TG_52_6,TG_54_3,TG_54_4,TG_54_5,TG_56_4
PT_MEXI5,MT1,PT,251716,17222662,68.42100621,3.974714286,92.842,3.509428571,56.05871429,0.2019158895,4.716383033,0.178279328,2.847788381,66879,NA,7000,137795,40042,NA,19771,27823,30092,46628,649894,5460871,3179162,37666,29038,40777,24566,392411,493639,248292,2480896,3970991,6538,18967,5804,566327,NA,NA,4982,NA,8180,54225,38319,NA,4754,15542,27872,NA,NA,9964,9253,17787,30821,NA
PT_MEXI5,MT2,PT,241683,16917267,69.99775326,12.01765893,161.0721493,6.953077699,169.2386478,0.254275466,3.408042787,0.1471165959,3.580833529,71016,NA,1982,93674,75011,NA,21642,23819,23260,35947,319245,5023454,4638202,43590,49818,75634,13781,335431,222210,494459,1318133,4162796,19566,20679,1221,624329,NA,NA,6880,NA,10668,113875,195892,NA,5407,22882,27040,NA,NA,23810,10978,13788,30566,NA
LANMLR17B041,MT2,RIL,233575,17051888,73.00390881,8.677030287,96.42187081,5.956043956,160.4982578,0.2367732027,2.631097784,0.1625246837,4.379572881,53203,NA,3731,136730,39911,NA,28392,32374,30999,69904,359750,4951520,2660937,40817,109245,78562,22222,598819,523462,496687,2710008,4211218,21081,21529,1417,436896,NA,NA,4044,NA,22791,60432,48921,NA,5984,50759,61439,NA,NA,11216,34521,67624,113022,NA
LANMLR17B147,MT3,RIL,228166,16847829,73.84022598,4.324435318,95.95934292,5.587679671,92.23285421,0.1442505274,3.200923313,0.1863886682,3.076618537,46019,NA,4870,145996,31281,NA,44087,21060,35463,147991,467322,5177638,2019534,30468,87986,32175,27212,449174,701647,255026,3377176,3879813,18544,18760,14352,756242,NA,NA,5258,NA,4021,21272,14142,NA,18864,19380,31545,NA,NA,11320,20420,38887,137556,NA
LANMLR17B084,MT2,RIL,185706,17178422,92.50332246,10.58163265,79.83202512,6.717948718,72.6596023,0.4530159619,3.417731728,0.2876057127,3.11066928,68162,NA,3822,89275,24447,NA,56066,40443,38949,36083,305118,6103983,3287518,53784,50113,31872,25676,277705,361120,265683,2558056,3494597,15393,26593,3118,382954,NA,NA,45402,NA,7563,27943,18072,NA,7549,13361,27551,NA,NA,15478,11216,28514,73983,NA
LANMLR17B052,MT2,RIL,168141,17285890,102.8059188,11.50564862,183.7865212,7.428515777,124.2103623,0.3564575111,5.693906369,0.2301435002,3.848172152,38599,NA,2567,82857,44118,NA,8802,29535,31694,36091,471780,5006144,3690356,39183,29889,45403,19069,318848,486830,349488,2171332,4473365,11759,10526,4155,563512,454,NA,667,NA,55584,61649,10384,NA,4170,19207,13285,NA,NA,3678,12364,29589,NA,NA
PT_MEXI5,MT2,PT,157551,16673852,105.8314578,13.16027689,197.9787007,12.14589989,190.7380192,0.4181612074,6.290674066,0.3859298863,6.060605035,56557,NA,1878,59104,40012,NA,23248,24715,17488,30842,371804,5031346,4153675,30771,39429,44555,22810,358206,309400,471581,1626565,3992889,26971,23921,781,460702,NA,NA,5635,NA,22182,230784,346941,NA,6743,46592,78722,NA,NA,45636,8739,37950,99865,NA
LANMLR17B100,MT3,RIL,156826,16597484,105.8337521,7.675569044,116.7022762,5.761456753,118.9599393,0.3060086148,4.652671571,0.2296970284,4.742679799,42179,NA,3295,82648,28704,NA,70124,25291,25486,112609,384534,5553424,2521637,37350,67368,33972,18984,391973,458196,271020,2870868,3642286,15557,23800,12742,504898,NA,NA,2130,NA,109566,67049,20228,NA,8454,126947,20673,NA,NA,9967,108859,343375,NA,NA
LANMLR17B084,MT1,RIL,162826,17344051,106.5189282,12.98945518,162.6313708,7.520210896,210.5650264,0.3629221345,4.543879893,0.2101128147,5.883134261,56505,NA,2276,81461,22584,NA,15915,29564,40215,53646,370149,5814343,3137345,50764,71887,45838,17116,479246,395773,394267,2468690,3788925,16970,26726,7730,480137,NA,NA,3120,NA,38842,27023,6708,NA,7033,30664,11692,NA,NA,3994,28613,74585,NA,NA
LANMLR17B084,MT3,RIL,144460,16842183,116.5871729,6.600047192,106.3489854,4.863378952,85.5899009,0.3650232291,5.881753406,0.2689747873,4.733648275,41283,NA,4238,76628,22311,NA,35333,27971,35095,114588,450707,5784904,2408639,37362,62620,26856,20611,362730,562736,234696,3124113,3438590,19366,20989,11933,915035,NA,NA,1481,NA,25144,7508,18910,NA,6379,31881,10877,NA,NA,3407,28987,109890,NA,NA
LANMLR17B021,MT3,RIL,139744,16767386,119.9864466,11.06944444,157.6352124,10.46691176,175.745915,0.326998033,4.656638791,0.309198856,5.191639817,34394,NA,2448,82869,20033,NA,21055,27098,39645,74519,385891,5251183,2625887,38937,79432,39809,25623,430226,516215,329017,2684600,4052678,18108,28273,9366,860005,NA,NA,34385,NA,10039,34108,23606,NA,19517,20429,38219,NA,NA,7969,16166,42356,134148,NA
LANMLR17B057,MT3,RIL,140905,17051623,121.0150314,18.1993517,307.1353323,18.36790924,515.9732577,0.2716288296,4.584053992,0.2741445833,7.701000254,34226,NA,1234,82679,22766,NA,18576,22458,39655,56361,379005,5533381,2255548,47471,41921,39882,22666,636711,395800,335703,3108374,4009520,9022,27371,8265,761161,NA,NA,4749,NA,8924,29267,16129,NA,14748,18076,38175,NA,NA,7696,12102,34585,100286,NA
LANMLR17B122,MT1,RIL,74637,12366319,165.6861744,1.332994924,31.74416244,2.58071066,43.31116751,0.07878078781,1.876098761,0.1525215252,2.559715597,26039,3063,1970,33333,10232,2730,19912,2626,6035,78778,62536,3162984,3114181,22683,24168,4312,5084,85323,123869,155417,2468560,3014815,3513,5065,3728,163847,14493,1203,2425,1333,3719,4104,3425,1307,1506,3046,3409,16717,30626,29993,2873,1728,4860,1120
LANMLR17B042,MT3,RIL,94803,17497137,184.5631151,10.10030166,87.64504776,12.09703369,71.8222725,0.8997447152,7.80750627,1.07761555,6.397998029,34228,NA,3978,44656,11941,NA,99575,40179,24328,40459,348652,5716241,2693905,28885,56621,29315,48122,285709,565160,239930,3519550,3603999,13636,25479,8553,340395,NA,NA,13710,NA,10056,22773,11556,NA,4626,15251,28610,NA,NA,5121,9271,19923,51966,NA
