RILS,BLOCK,Genos,LPCs,PCs,PCs_LPCs,PC32_1-LPC_18_1,PC34_1-LPC_18_1,PC36_1-LPC_18_1,PC36_2-LPC_18_1,PC32_1-LPC_18_2,PC34_1-LPC_18_2,PC36_1-LPC_18_2,PC36_2-LPC_18_2,LPC_16_0,LPC_18_0,LPC_18_1,LPC_18_2,LPC_18_3,PC_16_0__9_0_CHO,PC_32_0,PC_32_1,PC_32_2,PC_33_2,PC_34_1,PC_34_2,PC_34_3,PC_34_4,PC_35_2,PC_35_3,PC36_1,PC_36_2,PC_36_3_A,PC_36_3_B,PC_36_4_A,PC_36_5_A,PC_38_2,PC_38_5_A,PC_p_36_3__PC_o_36_4,PE_34_2,SM_d32_1,TG_46_3,TG_48_0,TG_48_3,TG_50_1,TG_50_2,TG_50_3,TG_50_4,TG_50_5,TG_52_2,TG_52_3,TG_52_4,TG_52_5,TG_52_6,TG_54_3,TG_54_4,TG_54_5,TG_56_4
LANMLR17B062,MT1,RIL,3741055,6693545,1.789213203,0.09942023994,0.805847349,0.1723398963,1.161529189,0.002032393123,0.01647349284,0.003523049435,0.02374450049,147189,23444,52263,2556592,961567,5634,24598,5196,2889,113435,42116,1714896,1595970,27012,63165,195042,9007,60705,80565,147329,780856,1704624,6759,36087,77660,101144,32843,3086,21667,3232,21979,104631,158128,1738,5749,41295,56634,330980,590389,490911,5680,35474,90156,10329
LANMLR17B125,MT3,RIL,6217775,11206794,1.802380112,0.1278427788,1.899542962,0.1588117002,2.15202925,0.00298746125,0.04438898343,0.003711150561,0.05028914464,87623,NA,109400,4681567,1339185,NA,122904,13986,17400,211801,207810,3718232,2072735,15712,51833,33873,17374,235432,236453,170245,1760348,2240273,12644,9557,31463,475095,NA,NA,6865,NA,8634,26269,17289,NA,18473,16872,29074,NA,NA,11731,12486,26867,73821,NA
LANMLR17B035,MT1,RIL,4001138,7214588,1.803134008,0.0797320593,0.9556124711,0.08204698813,1.248889327,0.002704624527,0.03241573026,0.002783150196,0.04236409713,93832,18598,101515,2992652,794541,823,17865,8094,14299,19180,97009,2423086,1191953,18007,40671,30955,8329,126781,209612,169280,1272808,1535597,8142,7983,14114,154516,5477,10434,5361,8831,8292,50229,35231,11402,27343,21563,33245,294343,481290,253275,8629,41469,102867,4861
LANMLR17B110,MT3,RIL,6014261,10944381,1.819738285,0.09483522168,1.768304176,0.1666064381,2.607352139,0.003001487064,0.0559659377,0.005273009962,0.08252138369,74352,NA,141129,4459123,1339657,NA,56030,13384,20101,187734,249559,3545151,1540242,25337,59698,32243,23513,367973,369249,212622,2014182,2145485,13650,12690,24298,599059,NA,NA,4505,NA,11429,36505,35314,NA,83643,23729,50540,NA,NA,18621,18536,72773,209353,NA
LANMLR17B052,MT1,RIL,6193241,11536921,1.862824489,0.08230779182,1.137932819,0.08291147428,1.858048381,0.002117057955,0.02926903605,0.002132585413,0.04779129677,112389,NA,115955,4508143,1456754,NA,20844,9544,13330,22775,131949,3729370,2168574,33824,70503,61294,9614,215450,217835,206095,1905487,2605309,13561,15785,31768,193169,NA,NA,8822,NA,43096,32420,1733,NA,11679,21553,3413,NA,NA,6363,25614,48862,NA,NA
LANMLR17B112,MT1,RIL,4053589,7829645,1.931534006,0.06813392648,0.8296758264,0.1014665503,2.490538728,0.001212231381,0.01476150171,0.001805281784,0.04431139312,158168,42179,46981,2640585,1165676,4549,19153,3201,3884,99955,38979,1697396,1955650,20539,47370,54143,4767,117008,81760,366159,1152122,2122659,1822,17666,20863,182392,17962,1518,4467,1786,2857,6270,6563,2172,1231,11161,3980,54533,152856,218470,2098,14150,40315,2354
LANMLR17B080,MT2,RIL,5435312,10571188,1.944909142,0.2423874439,2.406808211,0.4023033532,1.323553223,0.004952934713,0.04918061656,0.008220649599,0.02704543023,81258,NA,76584,3747879,1529591,NA,72815,18563,12556,20249,184323,3457780,2568839,22886,42926,55213,30810,101363,142909,108497,1564867,2031125,3485,23048,53816,82575,NA,NA,123177,NA,29648,348545,336257,NA,41284,81013,116507,NA,NA,76594,30295,93457,243279,NA
LANMLR17B098,MT3,RIL,5639815,10988931,1.948455933,0.2612445817,1.410157415,0.1353737079,2.168006247,0.007340461517,0.03962266384,0.003803736281,0.06091673299,120394,NA,113966,4056012,1349443,NA,53176,29773,10481,257244,160710,3755210,2315524,21596,73472,100772,15428,247079,192845,203366,1534780,1856080,18875,20921,72398,302889,NA,NA,18939,NA,26847,131145,103071,NA,42769,61142,77167,NA,NA,52887,32441,83118,178953,NA
B73_NAM,MT1,B73,5833080,11757658,2.015686053,0.06459568414,1.134283851,0.09935380602,2.168265355,0.002463958167,0.04326648128,0.003789782941,0.08270699815,70852,NA,168680,4422153,1171395,NA,19470,10896,19387,29115,191331,4049851,1814399,23944,70222,50213,16759,365743,337056,259083,2150099,2256874,14970,10736,20460,150677,NA,NA,7115,NA,17083,55126,29640,NA,22081,32460,61037,NA,NA,4389,15329,59159,136641,NA
LANMLR17B053,MT2,RIL,4075489,8224335,2.017999558,0.06414757995,1.348989844,0.08776739412,1.438445333,0.001527477061,0.03212203866,0.002089910194,0.03425214562,59694,10708,74048,3109703,821336,4997,22436,4750,10064,30830,99890,NA,1954779,24465,51563,69746,6499,106514,188478,175928,1640845,3800989,6197,20322,NA,82972,10580,NA,3481,NA,42576,104059,NA,NA,NA,43300,62738,288598,524819,432304,17625,52928,131108,NA
LANMLR17B118,MT1,RIL,4046007,8177083,2.021025421,0.08459471359,1.0582993,0.04223662836,1.009549547,0.001897871877,0.02374281316,0.0009475735034,0.0226491185,70874,9798,65867,2935920,963548,4977,14158,5572,11560,61091,69707,2484716,1651493,23083,32847,45112,2782,66496,177277,138445,1500498,1847393,2036,14251,23589,159051,16155,1645,2900,754,1534,12685,5207,2325,1754,2709,3778,46930,109719,104477,1762,2203,8403,1341
LANMLR17B065,MT1,RIL,4027191,8165292,2.027540288,0.07738303417,0.9682976635,0.09025576227,1.165969065,0.002258372424,0.02825912379,0.002634054439,0.03402803227,84239,14442,88637,3037143,802730,1269,15259,6859,14325,17887,85827,2802268,1308384,19565,37365,28856,8000,103348,222426,121374,1673401,1679823,7173,7191,4692,81121,5239,1872,6695,1569,12589,25531,13425,1588,8519,19269,28256,114886,142667,71137,10392,18656,41283,716
LANMLR17B036,MT3,RIL,4772280,9988265,2.092975475,0.2434528698,2.887063905,0.199298395,3.027101013,0.007332141234,0.08695054744,0.006002328013,0.09116808595,83898,NA,98631,3274896,1314855,NA,64854,24012,23271,112256,284754,3182443,1594450,25240,86263,64292,19657,298566,351581,206612,1480026,2026695,9898,15956,21056,458645,NA,NA,7347,NA,209782,196006,60479,NA,20258,540457,519255,NA,NA,19389,371364,462997,371186,NA
LANMLR17B054,MT3,RIL,5348826,11283693,2.109564417,0.1248904973,2.566254506,0.1814944064,2.726875188,0.004604798278,0.09461956339,0.00669182322,0.1005417581,71441,NA,139266,3777147,1360972,NA,37106,17393,34271,140353,357392,3749616,1451944,19823,69274,28246,25276,379761,451944,176261,2133009,2139094,19221,11487,12092,638991,NA,NA,9646,NA,10528,74009,43652,NA,95966,30239,96566,NA,NA,13791,22651,119058,373470,NA
LANMLR17B094,MT2,RIL,5152216,11241754,2.181925991,0.3047588655,3.206799234,0.6350971319,1.591916311,0.007185698579,0.07561090195,0.01497451616,0.03753469404,93746,NA,100276,4252892,705302,NA,156874,30560,8998,NA,321565,3713918,1945212,22432,49840,47626,63685,159631,229475,129567,2183381,2033294,13216,24816,51169,278734,NA,NA,74515,NA,22675,144922,87906,NA,40578,59475,91768,NA,NA,46843,34382,108519,243333,NA
LANMLR17B135,MT1,RIL,5470103,11939351,2.18265561,0.1265593065,1.981649517,0.1083233491,2.249207132,0.003771961977,0.05906090067,0.003228459172,0.06703516332,123347,NA,113512,3808628,1424616,NA,22533,14366,21083,24880,224941,4416288,2069218,30418,62309,49689,12296,255312,292361,190428,1885050,2292634,12118,13078,16403,172639,NA,NA,8232,NA,14409,112041,71226,NA,23163,35988,73548,NA,NA,21663,16768,61003,153486,NA
LANMLR17B108,MT1,RIL,3173222,6948421,2.18970529,0.02106828194,0.7894493392,0.03806167401,0.8536674009,0.00073951859,0.0277104922,0.001336004311,0.0299646129,92709,12281,90800,2586818,390614,9962,17850,1913,12537,53940,71682,2463295,1087014,16854,41057,44122,3456,77513,150467,92188,1424396,1346174,2410,8901,22690,97592,7607,10237,1977,8845,11798,95340,66030,14728,29564,30203,60862,596450,861926,399532,16627,68676,188084,9552
LANMLR17B059,MT1,RIL,5389956,11897220,2.207294457,0.1339541768,1.518383751,0.1208177865,2.788491782,0.003162449743,0.03584667846,0.002852320003,0.06583195336,111409,NA,97287,4120856,1060404,NA,18411,13032,21844,63122,147719,3996011,2171560,23471,56967,54916,11754,271284,215632,248894,1939022,2537054,13061,17556,25815,260632,1583,NA,10379,NA,49030,39397,19782,NA,12023,47155,23327,NA,NA,43399,57356,86213,NA,NA
LANMLR17B099,MT1,RIL,5391757,11984254,2.222699205,0.06672611311,1.548695705,0.1097618112,2.252614636,0.002091077187,0.04853335683,0.003439739087,0.07059291866,79105,NA,132332,4222704,957616,NA,18829,8830,13174,30091,204942,4199442,1590227,25386,61309,41401,14525,298093,396170,176499,2530682,2306267,13113,10838,18981,190963,NA,NA,10220,NA,16214,46155,28752,NA,48590,28374,69111,NA,NA,18095,20382,68351,234259,NA
LANMLR17B120,MT3,RIL,5238017,11780141,2.248969601,0.3964239283,2.500126631,0.2221790737,4.824573252,0.006441845464,0.04062678424,0.003610385641,0.07839878752,101621,NA,59227,3644763,1432406,NA,40874,23479,10458,144250,148075,4213380,2348654,21950,57688,48244,13159,285745,140752,228647,1767850,2156611,19425,18760,38369,271480,NA,NA,7953,NA,131887,81924,54820,NA,12532,61663,42515,NA,NA,11937,109464,136732,NA,NA
LANMLR17B029,MT2,RIL,3483723,7880219,2.262010786,0.06674277017,1.385121766,0.06813165906,1.860939878,0.001299038423,0.02695912065,0.001326070864,0.03622013887,93282,14659,52560,2700459,622763,9158,9166,3508,13110,18624,72802,2628809,1272529,21530,37726,41661,3581,97811,191826,126026,1550472,1752730,3316,15076,10758,143215,10913,3139,6810,1730,7625,22665,7382,7472,17878,12819,27237,310416,434798,183281,10187,35463,125924,1815
LANMLR17B032,MT2,RIL,5282471,11964553,2.264953845,0.1254933539,1.426405208,0.2005738783,2.961110103,0.002915975885,0.03314409137,0.004660554317,0.0688046449,110156,NA,88172,3794613,1289530,NA,16960,11065,13929,29004,125769,3628456,2774446,24639,62544,80435,17685,261087,208799,315362,1703720,2513436,14906,16316,52495,190925,NA,NA,9615,NA,35165,51372,59930,NA,10616,56517,58126,NA,NA,18573,36317,64285,109313,NA
B73_NAM,MT1,B73,3722811,8490482,2.280664261,0.05980581187,1.048529817,0.06846508745,1.73405867,0.001192284949,0.02090342526,0.001364915728,0.03457008587,85855,12221,58088,2913733,652914,4945,22706,3474,13082,293003,60907,2790692,1474824,31052,31414,36622,3977,100728,155912,146873,1609142,1685181,2424,15127,8397,169744,13737,2409,3600,1282,2004,13597,5559,1598,4007,2796,3916,61391,89438,69658,2634,9899,26517,884
LANMLR17B132,MT2,RIL,5373638,12350369,2.298325455,0.1842838217,2.103585325,0.1747911081,4.338107508,0.005021934363,0.05732498562,0.004763247605,0.1182181429,115041,NA,95863,3517768,1644966,NA,16577,17666,22653,22665,201656,3726174,2062803,28615,56257,47278,16756,415864,318974,355709,2063519,2885875,20572,10833,12085,308172,NA,NA,4658,NA,20666,18123,13534,NA,6183,18297,5657,NA,NA,5095,23207,49251,NA,NA
LANMLR17B048,MT1,RIL,5022499,11569803,2.303594884,0.09668208068,1.267044559,0.1592558655,0.9739169348,0.005701664102,0.07472183495,0.009391848468,0.05743512331,100326,NA,234635,3978663,708875,NA,74475,22685,3921,102513,297293,3495909,1923276,32148,72903,74284,37367,228515,439441,246021,1933272,2450856,19059,22612,36605,253338,NA,NA,96427,NA,33783,101927,56924,NA,18033,77449,103922,NA,NA,30214,47666,104361,213681,NA
LANMLR17B053,MT3,RIL,5155566,11929379,2.31388348,0.1393236491,1.976316138,0.1370901029,3.086148705,0.004461859998,0.06329180994,0.004390330358,0.09883435828,118814,NA,120884,3774659,1141209,NA,63259,16842,23642,151182,238905,4346165,1843005,27809,73466,63821,16572,373066,221276,221961,1944554,2206593,19117,14682,29384,516506,NA,NA,4723,NA,66653,40093,52572,NA,9006,60749,16598,NA,NA,7052,70814,179979,NA,NA
LANMLR17B077,MT3,RIL,3092565,7215986,2.333333657,0.01730236522,0.81345266,0.0755593437,0.7517295262,0.0009290040322,0.04367615591,0.004056956032,0.04036209801,66443,11890,140790,2622163,251279,8170,50229,2436,12069,19440,114526,NA,1382128,11968,58529,22923,10638,105836,281421,106907,1930981,3074271,4823,5973,NA,190868,6380,NA,1755,NA,13804,30190,NA,NA,NA,14027,49343,456450,582557,263595,9319,67875,272390,NA
LANMLR17B102,MT3,RIL,3799006,8971674,2.361584583,0.05768221709,0.4461730106,0.01378268933,0.3171059957,0.006589417216,0.05096926342,0.001574486816,0.0362250935,448682,23954,249661,2185474,891235,34105,31214,14401,28887,23722,111392,2659052,1981428,21999,22473,17429,3441,79169,230194,147937,1310000,2239518,1183,4842,9288,61836,3452,111,383,149,293,598,343,80,135,537,486,818,738,900,525,238,460,83
LANMLR17B106,MT1,RIL,5132610,12138537,2.364983313,0.1580611426,2.176715227,0.2599735714,4.903738113,0.006442995337,0.08872874021,0.01059721878,0.1998894939,106044,NA,123351,3026077,1877138,NA,41509,19497,18261,46770,268500,3268608,2407770,21300,41330,43603,32068,604881,309110,726430,1426597,2746190,38422,12707,3092,443190,4704,NA,4184,NA,50184,42224,21860,NA,7001,48559,19043,NA,NA,9490,62919,118214,NA,NA
LANMLR17B080,MT1,RIL,4992855,12013082,2.406054652,0.07110382581,1.308941329,0.07542758173,1.326038413,0.00287620556,0.0529477041,0.003051104881,0.05363929455,110228,NA,161665,3996585,724377,NA,28706,11495,16178,24093,211610,4649169,2199407,32624,64487,56346,12194,214374,268780,154581,1874492,2101233,10956,15958,31692,115480,5009,NA,15136,NA,187440,128128,27369,NA,13125,130484,29422,NA,NA,13502,89475,223557,NA,NA
LANMLR17B099,MT3,RIL,5039722,12185630,2.417917099,0.09269015044,2.178153011,0.1498728836,2.562470514,0.003649023101,0.08574946333,0.005900191247,0.1008792634,96272,NA,152616,3876654,914180,NA,27095,14146,18405,136842,332421,4012619,1479190,26790,67662,39296,22873,391074,509923,209216,2514366,2310017,16818,10439,19183,358867,NA,NA,6389,NA,36550,19747,48557,NA,8331,70552,11670,NA,NA,4432,69628,279349,NA,NA
LANMLR17B123,MT1,RIL,5073798,12421244,2.448115593,0.2707522204,3.255386363,0.1551688304,3.268687736,0.005603051299,0.06736822607,0.003211123868,0.06764348984,75432,NA,72173,3487564,1438629,NA,16968,19541,23633,15704,234951,4175859,1920884,22533,36894,28183,11199,235911,389292,177419,2217645,2764848,12283,9407,11906,342869,2640,NA,6426,NA,39623,27652,23340,NA,5662,42152,10927,NA,NA,4171,47931,136470,NA,NA
LANMLR17B134,MT1,RIL,3443935,8562513,2.486258597,0.1817179591,1.759681376,0.1068755629,1.664373777,0.005055422603,0.04895461653,0.002973295204,0.04630314393,81779,8281,64402,2314940,974533,855,16619,11703,18067,24511,113327,2984027,1254309,20700,44096,15528,6883,107189,268555,128845,1672150,1849510,7465,7311,10863,302250,4453,2665,5255,1150,6012,17154,10997,4559,10672,8293,14078,113493,155729,73517,5349,13396,39375,1729
LANMLR17B065,MT3,RIL,4803888,12007651,2.499569307,0.23145531,3.275950581,0.3446061345,4.308850114,0.006123187736,0.08666580353,0.009116611135,0.1139913281,71425,NA,100123,3784630,847710,NA,96438,23174,24096,218758,327998,3988345,1793689,23014,87688,45293,34503,431415,402053,256893,1965090,2180870,15717,18838,30204,576420,NA,NA,27082,NA,25250,85726,41538,NA,19803,48291,86613,NA,NA,21265,26457,84371,178410,NA
LANMLR17B065,MT2,RIL,4805628,12090626,2.515930488,0.1023496374,0.9767056589,0.09525156407,1.459112,0.003820739491,0.03646068495,0.003555766506,0.05446904341,188994,NA,148491,3977764,490379,NA,9979,15198,20376,NA,145032,4199518,2159945,32409,76406,108040,14144,216665,258584,169275,2164078,2313349,15009,22266,73131,328216,NA,NA,19078,NA,21773,102223,64965,NA,31461,56087,77460,NA,NA,44783,40780,85407,177846,NA
LANMLR17B149,MT1,RIL,4947020,12704485,2.56810868,0.08230322501,1.875897689,0.08540219943,1.369158532,0.004538390719,0.1034413495,0.004709275356,0.07549857705,89463,NA,202325,3669142,986090,NA,16539,16652,27255,32830,379541,4217051,1622032,27279,61262,37242,17279,277015,616352,163824,2545152,2561283,13598,13209,12546,135674,1451,NA,8024,NA,34951,19616,23299,NA,7723,46269,13320,NA,NA,4938,48585,165770,NA,NA
B73_NAM,MT3,B73,4843103,12476117,2.576058572,0.16614036,2.200738555,0.1791082121,3.094899139,0.004997845756,0.06620276885,0.005387945578,0.09310096915,89227,NA,115902,3852860,785114,NA,42298,19256,26455,29049,255070,4426523,1804331,23751,58867,39829,20759,358705,372461,203181,2384225,2328926,17479,10394,13904,76935,NA,NA,13992,NA,13595,83695,49578,NA,44967,41827,82140,NA,NA,15870,25429,110925,253162,NA
LANMLR17B093,MT1,RIL,3162583,8166552,2.582241162,0.03318866206,0.6510314526,0.03952204897,0.8593688046,0.001176262365,0.02307365674,0.001400728318,0.03045748516,73848,15065,93315,2632916,347439,17569,18875,3097,5175,23932,60751,2721223,1614006,14164,48506,33050,3688,80192,165268,100840,1714699,1502186,3321,9961,26049,94970,4470,3315,3877,1438,2969,45431,37528,4961,18435,16430,23649,243851,439341,301599,4429,28202,66012,4499
B73_NAM,MT3,B73,4823623,12603590,2.612888694,0.1172062651,2.104474017,0.1322467768,3.108060189,0.004716816023,0.08469186143,0.005322102152,0.1250799015,170959,NA,149463,3713946,789255,NA,39734,17518,32475,83603,314541,4223234,1581367,26147,82483,39010,19766,464540,405670,227830,2492664,2460432,19508,7756,13645,314268,NA,NA,5105,NA,7883,46048,26005,NA,31604,24154,51949,NA,NA,12465,14957,72603,191926,NA
LANMLR17B011,MT2,RIL,2618293,6858877,2.619598723,0.02723217921,0.5845961766,0.08253793054,0.9967791841,0.001373763043,0.02949072185,0.004163734299,0.05028383496,88190,22644,110531,2191062,205866,2735,23926,3010,5091,30207,64616,2480346,1388314,17555,46663,68943,9123,110175,130311,127192,1306777,997296,5107,3594,37896,99718,4693,28978,8294,25840,17203,121491,103562,26042,77764,42978,59892,540665,940157,654898,17352,70780,175170,4574
LANMLR17B043,MT1,RIL,4884656,13035229,2.66860737,0.3599068755,2.71106611,0.1666046755,4.6248433,0.008248804088,0.06213566545,0.003818458112,0.1059980481,71386,NA,72591,3167247,1573432,NA,15894,26126,34813,34561,196799,3932783,2434311,46300,45472,39490,12094,335722,348922,333055,1986660,3131547,12740,10912,8467,238924,3208,NA,1450,NA,13010,12605,5362,NA,4719,10164,4071,NA,NA,1432,9619,13599,NA,NA
LANMLR17B059,MT2,RIL,3083710,8813347,2.858033667,0.05,1.197366819,0.06181126332,1.779847793,0.001298499038,0.03109559325,0.001605237319,0.04622261294,131879,14338,65700,2529844,341949,11786,25888,3285,17333,21738,78667,NA,2042401,20951,64685,70212,4061,116936,196618,146922,2147274,3805514,12129,19078,NA,131684,16162,NA,3323,NA,8437,31133,NA,NA,NA,13823,27656,259151,416522,258526,9726,36668,82736,NA
LANMLR17B086,MT3,RIL,4356506,12548001,2.880290076,0.1874786262,2.626642728,0.1981044506,4.415604084,0.004914656273,0.06885609534,0.005193206824,0.1157528021,77068,NA,81876,3123311,1074251,NA,29943,15350,25928,160582,215059,4151839,2327966,27702,72657,43742,16220,361532,272567,270315,1907100,2560375,16572,13555,18776,322657,NA,NA,9262,NA,20576,115330,122290,NA,189252,51271,90329,NA,NA,27391,22031,87005,195027,NA
LANMLR17B094,MT3,RIL,3245598,9413284,2.900323453,0.06883757815,1.304692313,0.07139367419,1.404507509,0.003914370232,0.0741898377,0.004059719713,0.0798657148,122551,10926,141231,2483669,487221,4890,33439,9722,21566,22237,184263,3257030,1369823,15149,52240,17443,10083,198360,358913,164352,1863345,1812695,4767,2285,10682,139566,1527,472,364,367,486,699,335,242,504,550,512,2158,3722,1576,273,233,1124,58
LANMLR17B028,MT1,RIL,3607362,10639322,2.94933583,0.2189756706,2.434587775,0.1908420736,3.641495444,0.01128478904,0.125465123,0.009834939816,0.1876624366,161760,18395,93056,1805705,1528446,4188,28796,20377,24687,32921,226553,1882575,1876937,59637,81929,59909,17759,338863,340057,557510,1719013,3322033,16127,17305,NA,125206,12871,NA,61146,NA,10191,19507,NA,NA,NA,19978,19074,78717,141578,137839,15119,35084,44043,NA
LANMLR17B129,MT3,RIL,4352830,13020939,2.991373199,0.2392882497,2.721815101,0.246421783,4.362516317,0.006242259902,0.07100339145,0.006428350816,0.113804003,85147,NA,87334,3347826,832523,NA,86041,20898,19241,190311,237707,4289973,1909639,27154,80766,61662,21521,380996,333286,265572,2330941,2597804,22016,18622,34001,534787,3957,NA,2427,NA,17584,11770,9206,NA,10814,21973,7181,NA,NA,6391,31617,75556,NA,NA
LANMLR17B111,MT1,RIL,2802453,8452203,3.016001696,0.03942058645,0.6458030889,0.06379944361,0.622869568,0.002663403522,0.04363289277,0.004310531073,0.04208341759,67130,11084,156365,2314332,253542,22431,18591,6164,15133,550422,100981,1901185,1128784,17239,72550,14851,9976,97395,250329,43083,2494363,1621934,7934,16131,62727,126889,43074,4639,8769,5310,11275,13462,18528,9150,11638,14089,17112,148240,167176,120308,20752,18546,112601,4448
LANMLR17B032,MT1,RIL,4366269,13406544,3.070480541,0.1378306262,1.733561339,0.1614430021,3.766565723,0.004058190783,0.05104179559,0.004753417444,0.1109001876,93880,NA,94442,3207587,970360,NA,18710,13017,9045,23330,163721,4066171,2767265,38477,57748,62171,15247,355722,300503,385115,1952642,3005204,17021,16930,25592,221579,5484,NA,5781,NA,29387,27567,2540,NA,9614,22891,8405,NA,NA,2419,17477,39985,NA,NA
LANMLR17B095,MT3,RIL,4128960,12824227,3.10592183,0.5538953714,8.483218374,0.6479464467,14.87719363,0.01021999971,0.1565250295,0.01195534905,0.2745011468,83232,NA,54077,2930822,1060829,NA,75184,29953,34056,87711,458747,5255327,2596228,38422,75097,38071,35039,804514,405800,478050,2228183,58781,42154,13819,12973,863595,NA,NA,4838,NA,8279,72514,35743,NA,4532,27289,41997,NA,NA,13674,14148,47750,90842,NA
LANMLR17B026,MT1,RIL,4348140,13505143,3.10595864,0.07737233277,2.368803644,0.1832174538,3.854845361,0.002448283501,0.07495577128,0.005797528047,0.1219784121,58949,NA,104275,3295370,889546,NA,14546,8068,18340,21460,247007,4074869,1875678,26344,63883,37405,19105,401964,432114,285807,2708254,3159922,23861,19725,12130,141785,NA,NA,5634,NA,9273,23003,14986,NA,8032,13980,23176,NA,NA,6070,9056,29479,72659,NA
LANMLR17B075,MT1,RIL,2959979,9219859,3.114839328,0.2100235304,1.501799972,0.1379643223,2.607545804,0.004517288589,0.03230144672,0.002967403976,0.05608436771,79119,13048,49723,2311785,506304,1224,15603,10443,22472,25853,74674,2980859,1506710,30357,55459,32722,6860,129655,215953,175274,1850313,2055690,7487,9208,13043,202245,8484,948,5196,777,1740,14300,10449,1174,2976,7278,9016,83824,129280,81827,1903,12105,25151,1468
LANMLR17B107,MT3,RIL,4106887,12952226,3.153781928,0.1589399857,3.47259316,0.2153490733,4.316046288,0.004981430841,0.1088365687,0.006749380974,0.1352717253,142556,NA,96527,3079838,787966,NA,37774,15342,31991,115734,335199,4405272,1871610,31828,77735,32963,20787,416615,395296,227870,2296312,2567897,19360,10429,12745,385183,NA,NA,7523,NA,19701,80221,58040,NA,109496,36940,83107,NA,NA,15386,23784,78094,225078,NA
LANMLR17B037,MT1,RIL,2512843,7958724,3.167218963,0.03578436484,0.6104670452,0.05321680111,1.544092973,0.001926449928,0.03286447029,0.002864924476,0.08312618681,167460,38177,105493,1959563,242150,5732,33360,3775,5724,145513,64400,2876065,1387381,20050,73941,72355,5614,162891,133717,149647,1550606,1182803,6354,4100,74696,136890,18945,29974,21026,22814,7316,59502,48357,20024,58621,28201,40071,427475,584182,340382,18524,53917,117229,8228
LANMLR17B103,MT2,RIL,2491504,8135426,3.265267084,0.08826338668,2.704742598,0.1251535058,1.06839048,0.005418332223,0.1660393344,0.007682950981,0.06558659011,75383,7885,102602,1671363,634271,893,15965,9056,12152,16086,277512,2686975,1253430,22686,33710,25356,12841,109619,399366,140317,1326484,1772524,6852,8454,5148,156032,4205,666,3509,734,11556,94798,60149,6032,7519,28800,91578,494188,646258,283950,16602,63914,199232,11507
LANMLR17B125,MT1,RIL,4084000,13385873,3.277637855,0.1888790085,3.724170511,0.210581893,3.701884066,0.004412361363,0.08699953585,0.004919357718,0.08647890707,146128,NA,71972,3080890,785010,NA,52705,13594,27786,23010,268036,4978405,2259700,26156,68678,48003,15156,266432,340908,189876,2197725,2508464,14871,11127,18253,404071,7654,NA,5401,NA,47689,20956,7452,NA,8164,53768,13419,NA,NA,5178,33014,82640,NA,NA
LANMLR17B109,MT1,RIL,4079730,13409643,3.286894721,0.1344443331,2.020761669,0.1349786817,2.250041746,0.003911295181,0.05878860934,0.003926840611,0.06545889464,93599,NA,89829,3087724,808578,NA,25810,12077,15764,23710,181523,4554819,3230713,36675,42925,42973,12125,202119,215344,227718,1878045,2618047,13722,13284,18549,153752,3828,NA,6186,NA,101699,103599,9848,NA,15444,43828,8086,NA,NA,7565,27923,63243,NA,NA
B73_NAM,MT1,B73,2772873,9166479,3.305769503,0.0560351512,0.9005427759,0.0773714138,1.624812613,0.002030011016,0.03262437446,0.002802969547,0.05886282865,217530,45030,77380,2135949,296984,15891,14337,4336,8275,320464,69684,3031269,2191281,34708,93276,97178,5987,125728,187737,170345,2590003,123980,11603,7407,62990,161663,7873,2851,6153,3505,5290,10070,6485,3398,3366,5161,3553,43036,60835,59265,8323,3307,12798,2422
B73_NAM,MT3,B73,3990901,13330555,3.340236954,0.2648445138,3.358136209,0.2787222555,4.289360398,0.005669641909,0.07188908507,0.005966728771,0.09182420705,53817,NA,68527,3201084,667473,NA,52262,18149,25663,212899,230123,4657502,1810804,15501,45917,26131,19100,293937,371037,145400,2925172,2397591,13563,11877,16192,487169,NA,NA,6984,NA,11008,20067,15482,NA,35228,17819,30357,NA,NA,17321,12250,37356,130569,NA
LANMLR17B062,MT3,RIL,3991390,13376228,3.35127061,0.1994806056,3.965587358,0.2335064648,4.360028732,0.006176108918,0.1227783492,0.00722958182,0.1349906286,67490,NA,90490,2922714,910696,NA,23170,18051,31635,93898,358846,4384163,1616671,18740,70820,27226,21130,394539,506795,212793,2832443,2702173,13157,8137,11040,609121,763,NA,5169,NA,17117,11762,26721,NA,5431,24642,6415,NA,NA,2938,29130,94181,NA,NA
LANMLR17B112,MT2,RIL,3874845,13027895,3.362171906,0.3746480181,4.03580159,0.6182195129,3.459897268,0.008381381047,0.0902863203,0.01383040363,0.0774025645,100381,NA,64634,2889142,820688,NA,78902,24215,14428,25383,260850,3912144,2181057,29632,70953,76686,39958,223627,383586,265820,2445537,2832687,18977,34138,33805,232279,NA,NA,91444,NA,15039,69290,53468,NA,15291,32078,64948,NA,NA,34894,23137,73519,194551,NA
LANMLR17B027,MT2,RIL,2535837,8582420,3.38445255,0.04108327578,0.6986772985,0.04122977753,0.9959607375,0.001886212297,0.03207762009,0.001892938475,0.04572647519,148613,29002,95562,2081420,181240,3532,30111,3926,7649,28594,66767,2805882,1488825,24466,48573,105819,3940,95176,166351,102965,1876708,1657830,3523,23027,38756,106317,24110,2664,21205,2796,20973,47339,27681,5049,11158,29072,34031,286225,438384,231517,21331,36603,83293,3076
