SAMPLE ID,Genotype,N,P31,K,Ca,Mg,S,Fe,Mn,Zn,Cu,B,Na,Al,N Index,P Index,K Index,Ca Index,Mg Index,S Index,Fe Index,Mn Index,Zn Index,Cu Index,B Index,N:S,N:K,Fe:Mn
187.1,CR,2.42,0.21,1.86,0.2,0.19,0.16,63.4,20.6,33.2,6.47,4.47,0.01,19.7,47,40,57,50,55,54,54,51,62,54,51,14.9,1.3,3.08
187.2,CR,2.46,0.21,2.02,0.21,0.18,0.17,69.4,20,31.1,6.83,4.37,0.01,29.2,48,38,61,51,55,55,54,51,61,54,51,14.4,1.22,3.47
188.1,WT,2.14,0.18,2,0.19,0.17,0.14,65.9,19.3,33.1,5.78,4.3,0.01,37.8,38,28,61,48,54,53,54,51,62,53,50,15.2,1.07,3.41
188.2,WT,2.03,0.18,1.82,0.21,0.2,0.14,73.7,19.8,37.4,5.59,4.52,0.01,52.4,35,28,56,51,55,52,55,51,65,52,51,14.5,1.11,3.72
189.1,CR,2.23,0.19,1.95,0.21,0.18,0.15,76.7,23.1,40.2,5.96,4.44,0.01,52.7,41,30,60,51,54,53,55,51,67,53,51,14.8,1.14,3.32
189.2,CR,2.33,0.19,1.94,0.2,0.16,0.16,73.2,22.4,38.9,6.39,4.45,0.01,42.2,44,30,59,50,53,54,55,51,66,54,51,15,1.2,3.27
190.1,WT,2.34,0.19,1.96,0.21,0.17,0.15,69.4,22.5,48.6,6.47,4.05,0,37.6,44,33,60,51,54,54,54,51,73,54,50,15.3,1.19,3.09
190.2,WT,2.42,0.19,2.11,0.21,0.17,0.16,92,24.1,49.7,7.05,4.41,0.01,69.3,47,33,64,51,53,54,57,52,74,55,51,15.2,1.14,3.82
191.1,CR,2.2,0.24,1.98,0.24,0.21,0.15,85.1,29.1,44.4,6.75,4.96,0.01,57,40,48,60,52,56,53,56,53,70,54,51,14.5,1.11,2.93
191.2,CR,2.33,0.21,2.32,0.21,0.14,0.17,81.6,22.6,37,6.81,4.37,0.01,48.6,44,38,69,51,52,55,56,51,65,54,51,13.8,1,3.61
192.1,WT,2.44,0.24,2.28,0.24,0.21,0.18,78.8,25.9,39.8,7.39,4.33,0.01,36.4,48,51,68,52,56,56,55,52,67,55,50,13.4,1.07,3.05
192.2,WT,2.41,0.22,2.47,0.27,0.21,0.18,89.2,29.3,56.5,7.55,4.48,0.01,57.1,47,41,73,53,56,56,56,53,78,55,51,13.1,0.98,3.04
193.1,CR,2.28,0.22,2.28,0.22,0.17,0.18,77.4,22.8,47.4,7.46,5.31,0.01,40.6,43,43,68,51,53,56,55,51,72,55,52,12.7,1,3.4
193.2,CR,2.27,0.22,2.25,0.22,0.17,0.17,79,21.4,45.8,7.29,5.28,0.01,41.4,42,42,68,51,54,55,55,51,71,55,52,13.3,1.01,3.7
194.1,WT,2.42,0.24,2.13,0.24,0.18,0.18,77.8,25.6,45,7.54,4.89,0.01,38,47,49,64,52,54,56,55,52,70,55,51,13.6,1.14,3.04
194.2,WT,2.36,0.21,2.11,0.24,0.19,0.18,81,24,42.3,7.29,5.08,0.01,49,45,39,64,52,55,56,56,52,69,55,52,13.3,1.12,3.37
195.1,CR,2.38,0.23,2.21,0.23,0.18,0.18,77.9,23.8,46.2,7.33,4.85,0.01,41.6,46,45,66,51,54,55,55,52,71,55,51,13.5,1.08,3.27
195.2,CR,2.24,0.23,1.92,0.23,0.21,0.17,72.2,18.6,29.1,6.62,4.65,0.01,25.2,41,47,59,51,56,55,55,51,59,54,51,12.9,1.16,3.89
196.1,WT,2.21,0.19,1.98,0.26,0.19,0.16,87.2,22.6,35.7,6.02,4.99,0.01,79.2,41,31,60,53,55,54,56,51,64,53,51,14,1.11,3.87
196.2,WT,2.29,0.21,2.03,0.27,0.19,0.17,85.9,21.7,32.5,6.53,4.92,0.01,59.7,43,39,62,53,55,55,56,51,62,54,51,13.4,1.13,3.96
197.1,CR,2.34,0.22,1.9,0.26,0.22,0.17,79.7,23.5,44.6,6.67,5.01,0.01,47.5,44,41,58,53,57,55,55,52,70,54,52,14,1.23,3.39
197.2,CR,2.18,0.19,1.78,0.26,0.23,0.16,72.3,19.3,31.4,5.99,4.91,0.01,36.8,40,30,55,53,57,54,55,51,61,53,51,13.5,1.22,3.75
198.1,WT,2.23,0.22,1.79,0.26,0.22,0.16,76.8,22.6,45.2,6.94,5.05,0.01,51,41,42,55,53,57,54,55,51,71,54,52,13.9,1.25,3.39
198.2,WT,2.11,0.21,1.64,0.28,0.23,0.16,78.3,22.8,42.2,6.59,5.11,0.01,53.5,38,39,51,53,57,54,55,51,69,54,52,13.4,1.28,3.43
199.2,CR,2.14,0.19,1.83,0.28,0.22,0.15,70.4,22.4,42.3,6.14,4.64,0.01,55.6,39,34,56,54,57,53,54,51,69,53,51,14.3,1.17,3.14
199.1,CR,2.33,0.2,1.84,0.28,0.2,0.17,80.2,25.7,54.3,6.72,4.8,0.01,54,44,37,57,54,55,55,55,52,77,54,51,13.9,1.27,3.12
200.1,WT,2.24,0.2,2,0.26,0.19,0.17,67.7,18.5,38.6,6.16,4.55,0.01,35,41,35,61,53,55,55,54,51,66,53,51,13.5,1.12,3.66
200.2,WT,2.29,0.2,2.04,0.31,0.2,0.19,82.5,20,43.1,7.09,4.69,0.01,53.6,43,36,62,55,56,56,56,51,69,55,51,12.3,1.12,4.13
