,ROW_ID,PLANT_ID,FIELD,LOCATION,LAT,LON,ELE,SERIES,YEAR,ROW_NUM,PLANT_NUM,PLANTED,X1,Y1,X2,Y2,X_MID,Y_MID,CROSS,PANEL,TYPE,BLOCK,GENOTYPE,geno_pla,STOCK_FIELD,MUM_STOCK,DAD_STOCK,MUM_GEN,BLOCK_FIELD,lipid_batch_number,DTS,DTA,LPCs,PCs,CE_20_3,DG_34_2,DG_36_2,DG_36_3,DG_36_4,LPC_16_0,LPC_18_0,LPC_18_1,LPC_18_2,LPC_18_3,PC_16_0__9_0_CHO,PC_32_0,PC_32_1,PC_32_2,PC_33_2,PC_34_1,PC_34_2,PC_34_3,PC_34_4,PC_35_1,PC_35_2,PC_35_3,PC36_1,PC_36_2,PC_36_3_A,PC_36_3_B,PC_36_4_A,PC_36_4_C,PC_36_5_A,PC_36_5_B,PC_37_3,PC_38_2,PC_38_3_K,PC_38_5_A,PC_p_34_2__PC_o_34_3,PC_p_36_3__PC_o_36_4,PC_p_36_4__PC_o_36_5,PE_34_2,SM_d32_1,SM_d36_1,TG_46_0,TG_46_3,TG_48_0,TG_48_1,TG_48_2,TG_48_3,TG_50_0,TG_50_1,TG_50_2,TG_50_3,TG_50_4,TG_50_5,TG_52_0,TG_52_1,TG_52_2,TG_52_3,TG_52_4,TG_52_5,TG_52_6,TG_54_1,TG_54_2,TG_54_3,TG_54_4,TG_54_5,TG_54_6,TG_54_8,TG_56_4
183,RS16-2558,,MT2016,MT,19.2,-99.5,2582,RS,2016,2558,NA,4/5/16,-99.54719067,19.22454475,-99.54716149,19.22454537,-99.54717608,19.22454506,,B73xPT,E,BLOCK3,LANMLR17B036,,IS2015,15H326,,LANMLR17B036,MT3,BATCH1,127,125,4772280,9988265,NA,NA,NA,NA,NA,83898,NA,98631,3274896,1314855,NA,64854,24012,23271,112256,284754,3182443,1594450,25240,NA,86263,64292,19657,298566,351581,206612,1480026,NA,2026695,13210,75553,9898,7620,15956,NA,21056,NA,458645,NA,14580,NA,NA,7347,13254,10109,NA,6203,209782,196006,60479,NA,20258,9024,68421,540457,519255,NA,NA,19389,NA,87567,371364,462997,371186,NA,NA,NA
282,RS16-3104,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3104,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK1,LANMLR17B036,,,15H326,,LANMLR17B036,PV1,BATCH4,54,48,2198232,9535454,16690,150527,NA,5538,127835,72683,7999,76166,1408900,632484,12235,140651,15801,29509,46896,491390,1444492,1427118,42165,NA,103488,51329,36446,575279,573368,378447,1427734,16145,2661179,NA,NA,14532,32760,14490,NA,NA,NA,218018,4037,NA,5033,NA,31778,NA,NA,NA,NA,11920,41532,NA,NA,NA,NA,NA,21306,38365,384999,445643,167773,NA,5208,9513,108624,174099,770216,1020221,NA
387,RS16-3378,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3378,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK2,LANMLR17B036,,,15H326,,LANMLR17B036,PV2,BATCH4,54,47,3704950,8749760,20721,97692,NA,2803,77925,83232,21817,71603,1818197,1710101,637,62077,2577,10765,32209,122557,1816126,1616365,28164,NA,58601,37778,14910,186118,209095,277242,1280955,NA,2965334,NA,NA,8663,7352,12235,NA,NA,NA,222074,9261,NA,5484,NA,68109,NA,NA,NA,NA,10062,38716,NA,NA,NA,NA,NA,16838,21802,221612,373366,237059,NA,4776,9653,66972,91396,325675,921755,NA
445,RS16-3586,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3586,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK3,LANMLR17B036,,,15H326,,LANMLR17B036,PV3,BATCH4,51,46,2997716,8302537,23198,108283,NA,6971,80652,66083,11394,42605,1466510,1411124,5684,98179,7680,17609,38874,254571,1490665,1474846,31960,NA,62199,49892,22044,321934,315842,429249,1287607,NA,2358831,NA,NA,10889,11080,12902,NA,NA,NA,354789,12142,NA,18720,NA,89313,NA,NA,NA,NA,42698,41673,NA,NA,NA,NA,NA,59610,39482,271537,477919,288503,NA,13668,25123,84465,113077,492529,1420625,NA
31,RS16-2057,,MT2016,MT,19.2,-99.5,2582,RS,2016,2057,NA,4/5/16,-99.54765724,19.22442588,-99.54762784,19.22442649,-99.54764254,19.22442619,,B73xPT,E,BLOCK1,LANMLR17B037,,IS2015,15H327,PSIB,LANMLR17B037,MT1,BATCH2,141,141,2512843,7958724,NA,26560,NA,NA,17246,167460,38177,105493,1959563,242150,5732,33360,3775,5724,145513,64400,2876065,1387381,20050,NA,73941,72355,5614,162891,133717,149647,1550606,NA,1182803,NA,NA,6354,NA,4100,NA,74696,NA,136890,18945,NA,NA,29974,21026,NA,NA,22814,NA,7316,59502,48357,20024,58621,NA,NA,28201,40071,427475,584182,340382,NA,NA,18524,53917,117229,NA,NA,8228
135,RS16-2370,,MT2016,MT,19.2,-99.5,2582,RS,2016,2370,NA,4/5/16,-99.54736172,19.22459577,-99.54733265,19.22459638,-99.54734719,19.22459607,,B73xPT,E,BLOCK2,LANMLR17B037,,IS2015,15H327,PSIB,LANMLR17B037,MT2,BATCH1,140,135,1896781,14905506,NA,NA,NA,NA,NA,294936,NA,80377,1345126,176342,NA,39756,16736,25206,47184,193127,5405256,2592272,27123,NA,95479,99980,19183,344221,328858,276920,2761052,NA,2451941,21818,39547,24685,12542,22287,NA,60333,NA,289219,NA,23681,NA,NA,22156,13205,12519,NA,6355,35089,63795,44649,NA,41047,21091,34694,63818,46177,NA,NA,35184,NA,36265,61285,94867,181848,NA,NA,NA
298,RS16-3124,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3124,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK1,LANMLR17B037,,,15H327,,LANMLR17B037,PV1,BATCH4,NA,NA,2591518,8765096,13498,177445,NA,3672,93912,39324,3998,64244,1749200,734752,11298,49526,7203,16972,34905,184613,1815155,1484682,22022,NA,51215,10100,17146,216573,313061,185547,1549685,9851,2752213,NA,NA,11219,10766,11344,NA,NA,NA,218939,7827,NA,3646,NA,30864,NA,NA,NA,NA,9384,34308,NA,NA,NA,NA,NA,9602,29978,401597,480540,194192,NA,2025,9596,89466,148424,876082,1170062,NA
365,RS16-3354,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3354,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK2,LANMLR17B037,,,15H327,,LANMLR17B037,PV2,BATCH4,55,NA,2987785,7492691,13298,160288,NA,1983,67841,54595,14269,66571,1689943,1162407,7164,54963,3235,11544,40693,115574,1706486,1473936,19988,NA,46404,28719,14315,226552,144579,279337,1032583,NA,2255490,NA,NA,12874,6488,11767,NA,NA,NA,154375,16970,NA,2076,NA,21191,NA,NA,NA,NA,7505,39704,NA,NA,NA,NA,NA,13672,30942,502833,804888,403272,NA,3444,7195,115286,151876,695615,1647255,NA
419,RS16-3549,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3549,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK3,LANMLR17B037,,,15H327,,LANMLR17B037,PV3,BATCH4,NA,NA,2570707,7882483,6550,175352,NA,9675,72775,36216,9287,33782,1645344,846078,3015,35817,4080,14786,43399,106073,1766402,1279320,20830,NA,40035,23877,16619,287686,181148,282434,1210397,NA,2533471,NA,NA,15207,3170,14717,NA,NA,NA,278000,9346,NA,11995,NA,149076,NA,NA,NA,NA,6516,33093,NA,NA,NA,NA,NA,16784,19704,416530,587806,237783,NA,2339,10758,125970,158956,896962,1654486,NA
68,RS16-2096,,MT2016,MT,19.2,-99.5,2582,RS,2016,2096,NA,4/5/16,-99.54761559,19.2246177,-99.54758657,19.22461831,-99.54760108,19.224618,,B73xPT,E,BLOCK1,LANMLR17B039,,IS2015,15H328,PSIB,LANMLR17B039,MT1,BATCH2,133,132,2377044,9779383,NA,9596,NA,NA,7903,102133,10484,105174,1705213,454040,1890,15990,7928,16305,28318,244098,3077477,1541085,22228,NA,45903,32528,12075,138008,432390,179447,1752619,NA,2211266,NA,NA,7592,NA,8567,NA,3669,NA,151301,4920,NA,NA,1564,5619,NA,NA,694,NA,5585,11112,8826,1004,6924,NA,NA,8308,14738,110937,157017,78249,NA,NA,5903,15884,55726,NA,NA,1045
