,ROW_ID,PLANT_ID,FIELD,LOCATION,LAT,LON,ELE,SERIES,YEAR,ROW_NUM,PLANT_NUM,PLANTED,X1,Y1,X2,Y2,X_MID,Y_MID,CROSS,PANEL,TYPE,BLOCK,GENOTYPE,geno_pla,STOCK_FIELD,MUM_STOCK,DAD_STOCK,MUM_GEN,BLOCK_FIELD,lipid_batch_number,DTS,DTA,LPCs,PCs,CE_20_3,DG_34_2,DG_36_2,DG_36_3,DG_36_4,LPC_16_0,LPC_18_0,LPC_18_1,LPC_18_2,LPC_18_3,PC_16_0__9_0_CHO,PC_32_0,PC_32_1,PC_32_2,PC_33_2,PC_34_1,PC_34_2,PC_34_3,PC_34_4,PC_35_1,PC_35_2,PC_35_3,PC36_1,PC_36_2,PC_36_3_A,PC_36_3_B,PC_36_4_A,PC_36_4_C,PC_36_5_A,PC_36_5_B,PC_37_3,PC_38_2,PC_38_3_K,PC_38_5_A,PC_p_34_2__PC_o_34_3,PC_p_36_3__PC_o_36_4,PC_p_36_4__PC_o_36_5,PE_34_2,SM_d32_1,SM_d36_1,TG_46_0,TG_46_3,TG_48_0,TG_48_1,TG_48_2,TG_48_3,TG_50_0,TG_50_1,TG_50_2,TG_50_3,TG_50_4,TG_50_5,TG_52_0,TG_52_1,TG_52_2,TG_52_3,TG_52_4,TG_52_5,TG_52_6,TG_54_1,TG_54_2,TG_54_3,TG_54_4,TG_54_5,TG_54_6,TG_54_8,TG_56_4
18,RS16-2043,,MT2016,MT,19.2,-99.5,2582,RS,2016,2043,NA,4/5/16,-99.5477,19.22436364,-99.54767048,19.22436424,-99.54768524,19.22436394,,B73xPT,C,BLOCK1,B73_NAM,,,B73_NAM,PSIB,B73_NAM,MT1,BATCH2,152,144,4261712,7333289,NA,17873,NA,NA,9701,63294,13147,63386,3521462,600423,8356,9655,1453,3108,89183,42945,1986769,1497355,9146,NA,26632,14093,3909,63107,105407,65561,1841751,NA,1544661,NA,NA,3203,NA,4266,NA,12729,NA,94060,6397,NA,NA,2227,4158,NA,NA,6250,NA,3630,42215,30833,2819,9738,NA,NA,16611,20183,171509,296460,242195,NA,NA,3323,24197,50638,NA,NA,4137
19,RS16-2044,,MT2016,MT,19.2,-99.5,2582,RS,2016,2044,NA,4/5/16,-99.5477,19.22435682,-99.54767046,19.22435742,-99.54768523,19.22435712,,B73xPT,C,BLOCK1,B73_NAM,,,B73_NAM,PSIB,B73_NAM,MT1,BATCH2,145,146,2772873,9166479,NA,13458,NA,NA,11748,217530,45030,77380,2135949,296984,15891,14337,4336,8275,320464,69684,3031269,2191281,34708,NA,93276,97178,5987,125728,187737,170345,2590003,NA,123980,NA,NA,11603,NA,7407,NA,62990,NA,161663,7873,NA,NA,2851,6153,NA,NA,3505,NA,5290,10070,6485,3398,3366,NA,NA,5161,3553,43036,60835,59265,NA,NA,8323,3307,12798,NA,NA,2422
22,RS16-2047,,MT2016,MT,19.2,-99.5,2582,RS,2016,2047,NA,4/5/16,-99.54765704,19.2243577,-99.5476275,19.2243583,-99.54764227,19.224358,,B73xPT,C,BLOCK1,B73_NAM,,,B73_NAM,PSIB,B73_NAM,MT1,BATCH2,153,141,3722811,8490482,NA,4339,NA,NA,3823,85855,12221,58088,2913733,652914,4945,22706,3474,13082,293003,60907,2790692,1474824,31052,NA,31414,36622,3977,100728,155912,146873,1609142,NA,1685181,NA,NA,2424,NA,15127,NA,8397,NA,169744,13737,NA,NA,2409,3600,NA,NA,1282,NA,2004,13597,5559,1598,4007,NA,NA,2796,3916,61391,89438,69658,NA,NA,2634,9899,26517,NA,NA,884
70,RS16-2098,,MT2016,MT,19.2,-99.5,2582,RS,2016,2098,NA,4/5/16,-99.54761551,19.22460406,-99.54758647,19.22460467,-99.54760099,19.22460436,,B73xPT,C,BLOCK1,B73_NAM,,,B73_NAM,PSIB,B73_NAM,MT1,BATCH2,147,140,4179187,7256137,NA,15667,NA,NA,12883,61415,9539,70767,3066710,970756,2191,13500,4999,16692,19195,92955,3162722,1479843,20482,NA,42383,37531,8097,118111,222945,142376,1805973,NA,46572,NA,NA,2922,NA,9648,NA,7000,NA,87472,9202,NA,NA,3561,7737,NA,NA,1478,NA,7385,39066,25570,1887,13638,NA,NA,16846,31475,287923,420278,198497,NA,NA,9926,38331,108133,NA,NA,2450
79,RS16-2107,,MT2016,MT,19.2,-99.5,2582,RS,2016,2107,NA,4/5/16,-99.54761515,19.22454269,-99.54758598,19.2245433,-99.54760057,19.22454299,,B73xPT,C,BLOCK1,B73_NAM,,,B73_NAM,PSIB,B73_NAM,MT1,BATCH1,151,140,5833080,11757658,NA,NA,NA,NA,NA,70852,NA,168680,4422153,1171395,NA,19470,10896,19387,29115,191331,4049851,1814399,23944,NA,70222,50213,16759,365743,337056,259083,2150099,NA,2256874,12794,19922,14970,8204,10736,6130,20460,NA,150677,NA,3435,NA,NA,7115,9032,8045,NA,2217,17083,55126,29640,NA,22081,9400,4927,32460,61037,NA,NA,4389,NA,8178,15329,59159,136641,NA,NA,NA
105,RS16-2321,,MT2016,MT,19.2,-99.5,2582,RS,2016,2321,NA,4/5/16,-99.54739982,19.22439026,-99.54737034,19.22439086,-99.54738508,19.22439056,,B73xPT,C,BLOCK2,B73_NAM,,,B73_NAM,PSIB,B73_NAM,MT2,BATCH1,146,144,3612006,13975191,NA,NA,NA,NA,NA,115715,NA,52097,2366923,1077271,NA,15809,22742,38400,39962,326824,4366735,1938421,31091,NA,64897,37709,16603,456054,496550,284984,2441976,NA,3306074,17519,27692,20421,9006,9940,4232,1550,NA,299891,NA,1638,NA,NA,3571,2774,3838,NA,2764,8309,34013,21558,NA,23335,4620,4479,18090,39262,NA,NA,6885,NA,5155,9653,53962,139405,NA,NA,NA
119,RS16-2348,,MT2016,MT,19.2,-99.5,2582,RS,2016,2348,NA,4/5/16,-99.54740359,19.22457441,-99.54737448,19.22457503,-99.54738903,19.22457472,,B73xPT,C,BLOCK2,B73_NAM,,,B73_NAM,PSIB,B73_NAM,MT2,BATCH2,151,145,2279113,9625698,NA,15096,NA,NA,1767,82416,12976,62540,1814700,306481,13771,10625,4171,17767,20119,108635,3254036,1656967,30018,NA,45404,75375,10512,182848,217677,229555,1705255,NA,1998529,NA,NA,1925,NA,21263,NA,21246,NA,74104,11064,NA,NA,1578,1583,NA,NA,1931,NA,8826,23617,11867,2178,5843,NA,NA,14560,22339,157267,228375,159636,NA,NA,9322,23552,58063,NA,NA,3581
157,RS16-2530,,MT2016,MT,19.2,-99.5,2582,RS,2016,2530,NA,4/5/16,-99.54723465,19.22459162,-99.54720556,19.22459223,-99.54722011,19.22459193,,B73xPT,C,BLOCK3,B73_NAM,,,B73_NAM,,B73_NAM,MT3,BATCH1,148,146,1610089,15524290,NA,NA,NA,NA,NA,33624,NA,15673,1214100,346692,NA,30533,32284,45876,51588,370036,4692645,2236551,39221,NA,81661,44700,27844,535136,538680,389980,2651516,NA,3635147,21078,35851,17990,7939,19154,11327,7553,NA,588554,NA,10523,NA,NA,27019,3548,4435,NA,16277,7348,43549,25543,NA,21786,11129,3477,23998,50256,NA,NA,10416,NA,6400,15770,70696,179341,NA,NA,NA
176,RS16-2550,,MT2016,MT,19.2,-99.5,2582,RS,2016,2550,NA,4/5/16,-99.54719258,19.22459933,-99.54716351,19.22459995,-99.54717805,19.22459964,,B73xPT,C,BLOCK3,B73_NAM,,,B73_NAM,,B73_NAM,MT3,BATCH1,150,143,2089780,15248848,NA,NA,NA,NA,NA,68066,NA,27310,1429425,564979,NA,19531,30610,40741,68214,360653,5019577,2372690,43560,NA,51041,44960,20783,556592,293400,326202,2324303,NA,3556706,27280,25960,17655,10181,25761,10693,1755,NA,614270,NA,1616,NA,NA,2243,2817,4329,NA,1337,3740,25558,33940,NA,26883,6472,1415,5627,38580,NA,NA,16306,NA,1407,3754,19254,117086,NA,NA,NA
195,RS16-2582,,MT2016,MT,19.2,-99.5,2582,RS,2016,2582,NA,4/5/16,-99.54718493,19.22438101,-99.54715542,19.22438162,-99.54717017,19.22438132,,B73xPT,C,BLOCK3,B73_NAM,,,B73_NAM,,B73_NAM,MT3,BATCH1,146,141,4823623,12603590,NA,NA,NA,NA,NA,170959,NA,149463,3713946,789255,NA,39734,17518,32475,83603,314541,4223234,1581367,26147,NA,82483,39010,19766,464540,405670,227830,2492664,NA,2460432,14352,20724,19508,6062,7756,10529,13645,NA,314268,NA,NA,NA,NA,5105,4010,5628,NA,3215,7883,46048,26005,NA,31604,5904,3320,24154,51949,NA,NA,12465,NA,5735,14957,72603,191926,NA,NA,NA
200,RS16-2587,,MT2016,MT,19.2,-99.5,2582,RS,2016,2587,NA,4/5/16,-99.54714149,19.22436825,-99.54711195,19.22436885,-99.54712672,19.22436855,,B73xPT,C,BLOCK3,B73_NAM,,,B73_NAM,,B73_NAM,MT3,BATCH1,145,143,3990901,13330555,NA,NA,NA,NA,NA,53817,NA,68527,3201084,667473,NA,52262,18149,25663,212899,230123,4657502,1810804,15501,NA,45917,26131,19100,293937,371037,145400,2925172,NA,2397591,9378,9779,13563,3800,11877,18778,16192,NA,487169,NA,3446,NA,NA,6984,3165,6182,NA,2997,11008,20067,15482,NA,35228,7775,1569,17819,30357,NA,NA,17321,NA,2096,12250,37356,130569,NA,NA,NA
213,RS16-2609,,MT2016,MT,19.2,-99.5,2582,RS,2016,2609,NA,4/5/16,-99.54714719,19.22451835,-99.54711795,19.22451896,-99.54713257,19.22451866,,B73xPT,C,BLOCK3,B73_NAM,,,B73_NAM,,B73_NAM,MT3,BATCH1,145,140,4843103,12476117,NA,NA,NA,NA,NA,89227,NA,115902,3852860,785114,NA,42298,19256,26455,29049,255070,4426523,1804331,23751,NA,58867,39829,20759,358705,372461,203181,2384225,NA,2328926,7281,22536,17479,6607,10394,4230,13904,NA,76935,NA,20704,NA,NA,13992,4611,8261,NA,13449,13595,83695,49578,NA,44967,18558,4820,41827,82140,NA,NA,15870,NA,11903,25429,110925,253162,NA,NA,NA
101,RS16-2314,,MT2016,MT,19.2,-99.5,2582,RS,2016,2314,NA,4/5/16,-99.54744222,19.22436209,-99.54741269,19.2243627,-99.54742746,19.2243624,,B73xPT,E,BLOCK2,LANMLR17B002,,IS2015,15H307,PSIB,LANMLR17B002,MT2,BATCH1,125,NA,3561638,14169956,NA,NA,NA,NA,NA,74208,NA,43380,2480984,963066,NA,15427,22349,25362,29215,191837,4533988,2397569,43774,NA,57611,37573,17101,452962,319892,356294,2572462,NA,2975818,11041,66404,18266,9321,8477,NA,7213,NA,124304,1291,4146,NA,NA,3351,2365,3851,NA,7217,43820,32494,21157,NA,11822,2770,22573,39874,17747,NA,NA,6040,NA,10388,43835,113097,NA,NA,NA,NA
166,RS16-2539,,MT2016,MT,19.2,-99.5,2582,RS,2016,2539,NA,4/5/16,-99.54723662,19.22465302,-99.54720766,19.22465363,-99.54722214,19.22465333,,B73xPT,E,BLOCK3,LANMLR17B002,,IS2015,15H307,,LANMLR17B002,MT3,BATCH1,125,132,2731079,14730618,NA,NA,NA,NA,NA,46461,NA,31125,1709529,943964,NA,14951,24333,32038,53153,266487,4363180,2523041,45049,NA,55906,49085,21394,519916,348906,448150,2271593,NA,3564968,17376,59284,19552,12223,13738,NA,6295,NA,480347,NA,2521,NA,NA,3456,3094,3276,NA,2449,9035,31347,25229,NA,17571,5091,2779,18697,39553,NA,NA,12445,NA,4020,10279,38870,98515,NA,NA,NA
231,RS16-3040,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3040,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK1,LANMLR17B002,,,15H307,,LANMLR17B002,PV1,BATCH4,56,NA,2317560,9281966,24190,135766,NA,6530,77635,55847,7421,37019,1506866,710407,5701,60389,9266,15885,55046,188692,1774183,1755777,44122,NA,65590,51908,16029,265465,216597,254919,1587865,10985,2857743,NA,NA,4754,16300,24750,NA,NA,NA,251561,2750,NA,21333,NA,235219,NA,NA,NA,NA,10360,35414,NA,NA,NA,NA,NA,17228,21796,279702,430281,225843,NA,7859,9676,84396,93925,546414,1235712,NA
333,RS16-3319,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3319,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK2,LANMLR17B002,,,15H307,,LANMLR17B002,PV2,BATCH4,54,49,3245598,7930323,28797,104362,NA,2723,52811,48786,7887,57114,1612967,1518844,10118,38467,2424,9408,33842,109487,1621801,1563913,31041,NA,45348,32971,8972,137950,160958,204763,1122084,NA,2775213,NA,NA,3954,2388,15221,NA,NA,NA,245920,12484,NA,13277,NA,159203,NA,NA,NA,NA,10825,30079,NA,NA,NA,NA,NA,14310,22559,289454,531395,301272,NA,6561,8323,65510,99795,597723,1629791,NA
412,RS16-3542,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3542,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK3,LANMLR17B002,,,15H307,,LANMLR17B002,PV3,BATCH4,54,52,2512400,9474563,15607,119998,NA,3735,64543,89958,8168,92430,1604734,717110,33345,59402,5839,11503,38130,208998,NA,2970121,31678,NA,47597,44947,15770,239275,177649,302598,1298024,NA,3955729,NA,NA,11511,8940,13507,NA,NA,NA,22372,11407,NA,7876,NA,3067,NA,NA,NA,NA,13992,40826,NA,NA,NA,NA,NA,21977,29549,275805,490292,253669,NA,4009,13063,48441,123256,392920,1475143,NA
94,RS16-2129,,MT2016,MT,19.2,-99.5,2582,RS,2016,2129,NA,4/5/16,-99.54761427,19.22439267,-99.54758481,19.22439328,-99.54759954,19.22439297,,B73xPT,E,BLOCK1,LANMLR17B003,,IS2015,15H308,PSIB,LANMLR17B003,MT1,BATCH1,128,126,343877,16983952,NA,NA,NA,NA,NA,104278,NA,5345,174364,59890,NA,21453,32692,37804,30196,403746,5671113,3323615,50482,NA,55661,55705,19358,418955,366582,373665,2163899,NA,3802392,33094,56212,14763,14427,36212,NA,1926,NA,654728,2451,5855,NA,NA,5141,4485,3931,NA,6721,42184,34993,8347,NA,7028,1237,16956,26343,14579,NA,NA,4872,NA,9165,25645,56689,NA,NA,NA,NA
127,RS16-2361,,MT2016,MT,19.2,-99.5,2582,RS,2016,2361,NA,4/5/16,-99.54736316,19.22465716,-99.54733421,19.22465777,-99.54734868,19.22465747,,B73xPT,E,BLOCK2,LANMLR17B003,,IS2015,15H308,PSIB,LANMLR17B003,MT2,BATCH2,127,125,185638,12095301,NA,7397,NA,NA,3760,75037,4273,2092,82902,21334,5474,12825,9742,20432,35075,126978,4072880,2748925,29457,NA,24468,38976,9701,163796,160451,214259,1906180,NA,2486312,NA,NA,10423,NA,14139,NA,4808,NA,137662,2910,NA,NA,1461,1070,NA,NA,539,NA,2078,24996,20095,549,1489,NA,NA,9270,11351,62082,116690,71856,NA,NA,1799,9557,17309,NA,NA,1449
219,RS16-2619,,MT2016,MT,19.2,-99.5,2582,RS,2016,2619,NA,4/5/16,-99.54714978,19.22458658,-99.54712068,19.22458719,-99.54713523,19.22458689,,B73xPT,E,BLOCK3,LANMLR17B003,,IS2015,15H308,,LANMLR17B003,MT3,BATCH1,134,133,400460,17520412,NA,NA,NA,NA,NA,93926,NA,8939,204967,92628,NA,49839,36349,46392,49383,554797,5319820,2980529,44260,NA,93133,57453,32401,574040,716636,424977,2744123,NA,3664009,19501,55659,22797,13878,13455,NA,6981,NA,242037,NA,4339,NA,NA,1423,2283,2668,NA,1991,4777,12166,10232,NA,3732,3839,2416,8571,11830,NA,NA,3049,NA,2402,6551,11045,23241,NA,NA,NA
295,RS16-3120,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3120,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK1,LANMLR17B003,,,15H308,,LANMLR17B003,PV1,BATCH4,56,56,106467,10664673,11608,170803,NA,5272,114575,53714,2456,2438,33006,14853,7221,75697,74047,52118,96638,408616,1691227,1690482,41983,NA,110993,80263,27880,353486,608888,488818,1492840,15343,3279078,NA,NA,15708,16264,37083,NA,NA,NA,747473,3293,NA,5335,NA,79203,NA,NA,NA,NA,19101,34183,NA,NA,NA,NA,NA,21795,20777,209421,372001,228832,NA,5953,8689,51402,79604,523599,1588608,NA
327,RS16-3311,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3311,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK2,LANMLR17B003,,,15H308,,LANMLR17B003,PV2,BATCH4,52,52,145167,10800436,7045,131457,NA,2767,104216,60375,7113,1686,51499,24494,3236,37415,9619,26980,133042,344513,1555150,1554736,45322,NA,90474,76948,30572,743761,446949,879329,1526578,16453,3210074,NA,NA,22475,16044,30766,NA,NA,NA,803085,9133,NA,12098,NA,28860,NA,NA,NA,NA,20239,36380,NA,NA,NA,NA,NA,29354,34527,289282,511979,288215,NA,9176,13737,89604,127414,548419,1416354,NA
409,RS16-3537,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3537,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK3,LANMLR17B003,,,15H308,,LANMLR17B003,PV3,BATCH4,56,56,216325,12540931,7642,65442,NA,2036,85986,103911,5795,4146,81240,21233,16909,70593,10444,27699,70504,485499,NA,2778825,37092,NA,85066,60978,33939,565171,373579,498526,1796400,16061,5550196,NA,NA,11563,23591,28296,NA,NA,NA,323506,5634,NA,2978,NA,956,NA,NA,NA,NA,6926,25839,NA,NA,NA,NA,NA,8563,31361,281024,372781,141398,NA,1698,5327,41966,99826,411713,867814,NA
8,RS16-2032,,MT2016,MT,19.2,-99.5,2582,RS,2016,2032,NA,4/5/16,-99.5477,19.22443864,-99.54767063,19.22443924,-99.54768531,19.22443894,,B73xPT,E,BLOCK1,LANMLR17B007,,IS2015,15H309,PSIB,LANMLR17B007,MT1,BATCH2,141,138,2377877,9957960,NA,14295,NA,NA,5896,216230,19285,86117,1799692,256553,13999,19015,15629,23872,49363,106879,3446558,1337488,17166,NA,61326,28144,9539,208642,258086,170639,2160888,NA,2006352,NA,NA,8814,NA,3976,NA,11585,NA,141168,6256,NA,NA,1297,5333,NA,NA,483,NA,1558,13032,7179,830,1497,NA,NA,7545,7807,76629,91620,43602,NA,NA,1495,13385,23336,NA,NA,798
100,RS16-2313,,MT2016,MT,19.2,-99.5,2582,RS,2016,2313,NA,4/5/16,-99.54744234,19.22436891,-99.54741282,19.22436952,-99.54742758,19.22436922,,B73xPT,E,BLOCK2,LANMLR17B007,,IS2015,15H309,PSIB,LANMLR17B007,MT2,BATCH1,140,NA,3744094,13911820,NA,NA,NA,NA,NA,124474,NA,59909,2873557,686154,NA,26855,17532,26653,41877,227206,5080057,2078164,26126,NA,73598,36791,17335,440476,322264,246346,2607938,NA,2564467,11485,17003,19875,7052,10962,NA,11758,NA,104532,NA,5641,NA,NA,3647,4239,4495,NA,7816,65975,37518,16334,NA,8869,4592,27848,41541,13231,NA,NA,7749,NA,12038,63208,124584,NA,NA,NA,NA
229,RS16-3037,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3037,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK1,LANMLR17B007,,,15H309,,LANMLR17B007,PV1,BATCH3,52,54,4345254,13115876,NA,NA,3978,5238,11832,89427,32083,89345,2353250,1781149,24816,54052,10119,20287,50608,380832,4906233,2001279,33076,6762,30950,37810,32465,552738,342598,276168,2069513,NA,2164499,22299,13945,15503,NA,15103,NA,NA,54221,317810,NA,NA,NA,NA,9681,11830,NA,NA,5600,304523,172528,21094,4742,4751,NA,116956,531780,489202,592728,536299,NA,24179,97716,228516,350868,319704,NA,NA,6429
325,RS16-3309,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3309,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK2,LANMLR17B007,,,15H309,,LANMLR17B007,PV2,BATCH4,54,56,1328213,9892205,19449,178865,NA,8543,102419,88968,5852,56289,905278,271826,28892,92296,11745,22556,68584,419167,1647422,1642547,43283,NA,70240,46623,26058,434182,389040,352905,1575458,NA,2968449,NA,NA,15674,21205,15879,NA,NA,NA,150750,10527,NA,10714,NA,130767,NA,NA,NA,NA,19403,39496,NA,NA,NA,NA,NA,24291,32700,377729,504171,208410,NA,10694,13983,82454,112970,758145,1465640,NA
91,RS16-2123,,MT2016,MT,19.2,-99.5,2582,RS,2016,2123,NA,4/5/16,-99.54761451,19.22443358,-99.54758513,19.22443419,-99.54759982,19.22443389,,B73xPT,E,BLOCK1,LANMLR17B010,,IS2015,15H310,PSIB,LANMLR17B010,MT1,BATCH2,135,134,4755891,6396818,NA,17193,NA,NA,9115,55409,3291,50304,3121366,1525521,9795,11808,1932,9241,43474,51864,2181234,1341576,14404,NA,22338,29391,1953,46027,107943,74220,1115081,NA,1314605,NA,NA,1606,NA,3089,NA,15237,NA,162993,8142,NA,NA,6090,2289,NA,NA,5717,NA,7090,61495,50337,6720,14890,NA,NA,17911,25535,284836,513476,347207,NA,NA,8588,24905,60656,NA,NA,3386
158,RS16-2531,,MT2016,MT,19.2,-99.5,2582,RS,2016,2531,NA,4/5/16,-99.54723487,19.22459844,-99.5472058,19.22459906,-99.54722033,19.22459875,,B73xPT,E,BLOCK3,LANMLR17B010,,IS2015,15H310,,LANMLR17B010,MT3,BATCH1,135,130,8349669,8078049,NA,NA,NA,NA,NA,60244,NA,84686,5629902,2574837,NA,61013,15398,9231,161662,151607,2732424,1500413,17429,NA,34383,42672,20103,143217,139983,108849,1095491,NA,1773243,6450,10449,11479,4487,18960,NA,19106,NA,269902,NA,50845,NA,NA,29383,12489,17839,NA,25107,23337,322327,248163,NA,122078,33260,9235,88332,91832,NA,NA,32955,NA,20062,33701,117652,194445,NA,NA,NA
291,RS16-3114,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3114,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK1,LANMLR17B010,,,15H310,,LANMLR17B010,PV1,BATCH4,52,50,1218315,10369440,23690,166803,NA,6558,89591,46532,2442,44599,972731,152011,24906,53368,14084,24300,50060,450792,1769063,1719138,29473,NA,83032,31372,34120,433335,490644,271832,1688888,18611,3120222,NA,NA,13811,34246,14143,NA,NA,NA,152958,3004,NA,8889,NA,99116,NA,NA,NA,NA,35725,45985,NA,NA,NA,NA,NA,48589,80314,338523,310998,117419,NA,14256,24523,148156,241777,903991,925240,NA
367,RS16-3356,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3356,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK2,LANMLR17B010,,,15H310,,LANMLR17B010,PV2,BATCH4,52,48,2299361,8872885,53694,112900,NA,2427,54799,128589,11268,60497,1267410,831597,11779,58238,7935,13681,33738,242176,1566077,1566219,27830,NA,71405,67964,18783,415655,187357,776722,1103395,NA,2669273,NA,NA,13222,9698,11738,NA,NA,NA,79167,12071,NA,6770,NA,67922,NA,NA,NA,NA,10807,67112,NA,NA,NA,NA,NA,20816,18623,325242,739519,677621,NA,6643,2980,83158,149245,273179,1524130,NA
400,RS16-3527,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3527,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK3,LANMLR17B010,,,15H310,,LANMLR17B010,PV3,BATCH4,50,47,2442254,5896346,26779,142423,NA,2464,68481,53691,14074,56524,1512258,805707,16907,44573,2153,6649,19893,91265,NA,1928385,13554,NA,37931,34583,12890,192143,90452,362009,708700,NA,2309516,NA,NA,9110,4805,10828,NA,NA,NA,78357,11821,NA,4079,NA,2237,NA,NA,NA,NA,11256,100755,NA,NA,NA,NA,NA,17912,45296,632754,1464995,962963,NA,NA,7411,123384,83744,487082,2709852,NA
5,RS16-2029,,MT2016,MT,19.2,-99.5,2582,RS,2016,2029,NA,4/5/16,-99.5477,19.22445909,-99.54767067,19.2244597,-99.54768533,19.2244594,,B73xPT,E,BLOCK1,LANMLR17B011,,IS2015,15H311,PSIB,LANMLR17B011,MT1,BATCH2,134,134,4381164,7218993,NA,19629,NA,NA,11993,72755,11235,66584,3377983,852607,13086,14779,3438,12712,194697,46466,2183170,1404469,19041,NA,41992,53409,3127,74792,119735,130758,1352278,NA,1502217,NA,NA,2857,NA,5691,NA,40279,NA,108542,13888,NA,NA,3495,10410,NA,NA,4187,NA,3529,27544,22557,3678,20707,NA,NA,15966,17026,162567,320390,226535,NA,NA,9695,24488,60380,NA,NA,4469
133,RS16-2367,,MT2016,MT,19.2,-99.5,2582,RS,2016,2367,NA,4/5/16,-99.5473622,19.22461623,-99.54733317,19.22461685,-99.54734769,19.22461654,,B73xPT,E,BLOCK2,LANMLR17B011,,IS2015,15H311,PSIB,LANMLR17B011,MT2,BATCH2,133,133,2618293,6858877,NA,64869,NA,NA,31927,88190,22644,110531,2191062,205866,2735,23926,3010,5091,30207,64616,2480346,1388314,17555,NA,46663,68943,9123,110175,130311,127192,1306777,NA,997296,NA,NA,5107,NA,3594,NA,37896,NA,99718,4693,NA,NA,28978,8294,NA,NA,25840,NA,17203,121491,103562,26042,77764,NA,NA,42978,59892,540665,940157,654898,NA,NA,17352,70780,175170,NA,NA,4574
242,RS16-3054,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3054,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK1,LANMLR17B011,,,15H311,,LANMLR17B011,PV1,BATCH4,56,54,1380815,10000196,14102,126788,NA,9658,152352,101213,9946,22575,990701,256380,6528,69612,13553,39124,55948,363316,1643374,1619125,43908,NA,86213,32115,25124,377168,502574,335728,1602722,15056,3120045,NA,NA,10029,23636,15298,NA,NA,NA,570549,4178,NA,16419,NA,55446,NA,NA,NA,NA,9830,21463,NA,NA,NA,NA,NA,13926,24933,253590,295071,120724,NA,4212,18166,88988,189069,931510,1090990,NA
392,RS16-3383,,PV2016_2,PV,20.8,-105.2,54,RS,2016,3383,NA,4/1/16,NA,NA,NA,NA,NA,NA,,B73xPT,E,BLOCK2,LANMLR17B011,,,15H311,,LANMLR17B011,PV2,BATCH4,56,56,2618373,7063213,17222,108672,NA,1990,51671,70340,7731,51067,1731724,757511,17331,105994,3974,15278,36229,192175,NA,2058762,22027,NA,56829,28372,10651,155640,192028,233446,1046255,NA,2866024,NA,NA,8970,5092,8136,NA,NA,NA,174856,10673,NA,2794,NA,1442,NA,NA,NA,NA,8373,42313,NA,NA,NA,NA,NA,11060,32465,441047,665613,294046,NA,1602,5748,59548,160811,932611,2808594,NA
14,RS16-2038,,MT2016,MT,19.2,-99.5,2582,RS,2016,2038,NA,4/5/16,-99.5477,19.22439773,-99.54767055,19.22439833,-99.54768527,19.22439803,,B73xPT,E,BLOCK1,LANMLR17B012,,PV2015,RS15_514.1,PSIB,LANMLR17B012,MT1,BATCH2,NA,145,2120884,7325445,NA,7450,NA,NA,6009,138665,29755,97453,1641950,213061,7542,32601,27056,7606,233644,122259,2419256,1974011,30742,NA,105610,190784,20445,114887,235678,251813,1394103,NA,62700,NA,NA,19794,NA,33661,NA,41253,NA,117352,60964,NA,NA,13284,27583,NA,NA,13744,NA,38591,108745,129948,56218,16915,NA,NA,54836,112982,466857,695016,569782,NA,NA,39050,92707,261443,NA,NA,19160
