ZmLpcat1,samp,experiment,plate,well,barcode,tube_num_full,tube_num,tissue_key,tissue,ID,temp_tx,fertilizer_tx,tray,pot,line,source,tissue_stage,date_planted,emergence_date,unique_id,harvest_date,genotype,inv4m_genotype,uniqueID,file,Filename,fastqc,Total_Sequences,plant,NEWID,new_line,new_inv4m_genotype,full_geno,group,inv_temp,fert_temp,fert_temp_geno
6.336270495,GC72_P3_ILLSINHA61,gc72,3,D8,ILLSINHA61,283,283,0,V3_Leaf_tissue,gc72338,cold,low,9,7,B73,,V3,3/2/17,3/8/17,cold_9_7_V3,3/28/17,B73,B73,gc72338_0,GC72_P3_ILLSINHA61_1.fq.gz,GC72_P3_ILLSINHA61_1.fq.gz,pass,4878534,gc72_3_cold_low_9_7_V3,gc72_3_cold_low_9_7_V3_V3_Leaf_tissue,,B73,B73_,cold_NA_B73,B73_cold,low_cold,low_cold_B73
6.227216245,GC72_P3_ILLSINHA62,gc72,3,C8,ILLSINHA62,276.1,276,1,V3_Primary_root,gc72352,cold,low,10,5,PT,,V3,3/2/17,3/13/17,cold_10_5_V3,3/28/17,PT,Inv4m,gc72352_1,GC72_P3_ILLSINHA62_1.fq.gz,GC72_P3_ILLSINHA62_1.fq.gz,pass,2414490,gc72_3_cold_low_10_5_V3,gc72_3_cold_low_10_5_V3_V3_Primary_root,,Inv4m,PT_,cold_NA_Inv4m,Inv4m_cold,low_cold,low_cold_PT
5.78427641,GC72_P3_ILLSINHA63,gc72,3,B8,ILLSINHA63,224.1,224,1,V3_Primary_root,gc72344,cold,low,10,1,F1,,V3,3/2/17,3/9/17,cold_10_1_V3,3/23/17,F1,H,gc72344_1,GC72_P3_ILLSINHA63_1.fq.gz,GC72_P3_ILLSINHA63_1.fq.gz,pass,652947,gc72_3_cold_low_10_1_V3,gc72_3_cold_low_10_1_V3_V3_Primary_root,,H,F1_,cold_NA_H,H_cold,low_cold,low_cold_F1
6.126470975,GC72_P3_ILLSINHA64,gc72,3,A8,ILLSINHA64,283.1,283,1,V3_Primary_root,gc72338,cold,low,9,7,B73,,V3,3/2/17,3/8/17,cold_9_7_V3,3/28/17,B73,B73,gc72338_1,GC72_P3_ILLSINHA64_1.fq.gz,GC72_P3_ILLSINHA64_1.fq.gz,pass,3494606,gc72_3_cold_low_9_7_V3,gc72_3_cold_low_9_7_V3_V3_Primary_root,,B73,B73_,cold_NA_B73,B73_cold,low_cold,low_cold_B73
6.107913552,GC73_P4_ILLSINHA37,gc73,4,D5,ILLSINHA37,84,84,0,V3_Leaf_tissue,gc73026,warm,high,2,4,F1,,V3,4/21/17,4/24/17,warm_2_4_V3,5/2/17,F1,H,gc73026_0,GC73_P4_ILLSINHA37_1.fq.gz,GC73_P4_ILLSINHA37_1.fq.gz,pass,517569,gc73_4_warm_high_2_4_V3,gc73_4_warm_high_2_4_V3_V3_Leaf_tissue,,H,F1_,warm_NA_H,H_warm,high_warm,high_warm_F1
5.379499344,GC73_P4_ILLSINHA38,gc73,4,C5,ILLSINHA38,105,105,0,V3_Leaf_tissue,gc73056,warm,high,4,1,PT,,V3,4/21/17,4/25/17,warm_4_1_V3,5/2/17,PT,Inv4m,gc73056_0,GC73_P4_ILLSINHA38_1.fq.gz,GC73_P4_ILLSINHA38_1.fq.gz,pass,739340,gc73_4_warm_high_4_1_V3,gc73_4_warm_high_4_1_V3_V3_Leaf_tissue,,Inv4m,PT_,warm_NA_Inv4m,Inv4m_warm,high_warm,high_warm_PT
6.360833889,GC73_P4_ILLSINHA39,gc73,4,B5,ILLSINHA39,156,156,0,V3_Leaf_tissue,gc73052,warm,high,3,8,B73,,V3,4/21/17,4/25/17,warm_3_8_V3,5/3/17,B73,B73,gc73052_0,GC73_P4_ILLSINHA39_1.fq.gz,GC73_P4_ILLSINHA39_1.fq.gz,pass,703649,gc73_4_warm_high_3_8_V3,gc73_4_warm_high_3_8_V3_V3_Leaf_tissue,,B73,B73_,warm_NA_B73,B73_warm,high_warm,high_warm_B73
6.214239617,GC73_P4_ILLSINHA40,gc73,4,A5,ILLSINHA40,105.1,105,1,V3_Primary_root,gc73056,warm,high,4,1,PT,,V3,4/21/17,4/25/17,warm_4_1_V3,5/2/17,PT,Inv4m,gc73056_1,GC73_P4_ILLSINHA40_1.fq.gz,GC73_P4_ILLSINHA40_1.fq.gz,pass,6869374,gc73_4_warm_high_4_1_V3,gc73_4_warm_high_4_1_V3_V3_Primary_root,,Inv4m,PT_,warm_NA_Inv4m,Inv4m_warm,high_warm,high_warm_PT
6.401968607,GC73_P4_ILLSINHA41,gc73,4,H6,ILLSINHA41,84.1,84,1,V3_Primary_root,gc73026,warm,high,2,4,F1,,V3,4/21/17,4/24/17,warm_2_4_V3,5/2/17,F1,H,gc73026_1,GC73_P4_ILLSINHA41_1.fq.gz,GC73_P4_ILLSINHA41_1.fq.gz,pass,8376208,gc73_4_warm_high_2_4_V3,gc73_4_warm_high_2_4_V3_V3_Primary_root,,H,F1_,warm_NA_H,H_warm,high_warm,high_warm_F1
6.152428517,GC73_P4_ILLSINHA42,gc73,4,G6,ILLSINHA42,156.1,156,1,V3_Primary_root,gc73052,warm,high,3,8,B73,,V3,4/21/17,4/25/17,warm_3_8_V3,5/3/17,B73,B73,gc73052_1,GC73_P4_ILLSINHA42_1.fq.gz,GC73_P4_ILLSINHA42_1.fq.gz,pass,1604660,gc73_4_warm_high_3_8_V3,gc73_4_warm_high_3_8_V3_V3_Primary_root,,B73,B73_,warm_NA_B73,B73_warm,high_warm,high_warm_B73
5.733512104,GC73_P4_ILLSINHA43,gc73,4,F6,ILLSINHA43,159,159,0,V3_Leaf_tissue,gc73148,warm,low,9,2,F1,,V3,4/21/17,4/25/17,warm_9_2_V3,5/4/17,F1,H,gc73148_0,GC73_P4_ILLSINHA43_1.fq.gz,GC73_P4_ILLSINHA43_1.fq.gz,pass,960862,gc73_4_warm_low_9_2_V3,gc73_4_warm_low_9_2_V3_V3_Leaf_tissue,,H,F1_,warm_NA_H,H_warm,low_warm,low_warm_F1
6.177255188,GC73_P4_ILLSINHA44,gc73,4,E6,ILLSINHA44,119,119,0,V3_Leaf_tissue,gc73154,warm,low,9,5,PT,,V3,4/21/17,4/25/17,warm_9_5_V3,5/2/17,PT,Inv4m,gc73154_0,GC73_P4_ILLSINHA44_1.fq.gz,GC73_P4_ILLSINHA44_1.fq.gz,pass,2563413,gc73_4_warm_low_9_5_V3,gc73_4_warm_low_9_5_V3_V3_Leaf_tissue,,Inv4m,PT_,warm_NA_Inv4m,Inv4m_warm,low_warm,low_warm_PT
6.24263517,GC73_P4_ILLSINHA45,gc73,4,D6,ILLSINHA45,129,129,0,V3_Leaf_tissue,gc73176,warm,low,10,7,B73,,V3,4/21/17,4/25/17,warm_10_7_V3,5/2/17,B73,B73,gc73176_0,GC73_P4_ILLSINHA45_1.fq.gz,GC73_P4_ILLSINHA45_1.fq.gz,pass,273581,gc73_4_warm_low_10_7_V3,gc73_4_warm_low_10_7_V3_V3_Leaf_tissue,,B73,B73_,warm_NA_B73,B73_warm,low_warm,low_warm_B73
6.141852995,GC73_P4_ILLSINHA46,gc73,4,C6,ILLSINHA46,119.1,119,1,V3_Primary_root,gc73154,warm,low,9,5,PT,,V3,4/21/17,4/25/17,warm_9_5_V3,5/2/17,PT,Inv4m,gc73154_1,GC73_P4_ILLSINHA46_1.fq.gz,GC73_P4_ILLSINHA46_1.fq.gz,pass,2492717,gc73_4_warm_low_9_5_V3,gc73_4_warm_low_9_5_V3_V3_Primary_root,,Inv4m,PT_,warm_NA_Inv4m,Inv4m_warm,low_warm,low_warm_PT
6.576971859,GC73_P4_ILLSINHA47,gc73,4,B6,ILLSINHA47,129.1,129,1,V3_Primary_root,gc73176,warm,low,10,7,B73,,V3,4/21/17,4/25/17,warm_10_7_V3,5/2/17,B73,B73,gc73176_1,GC73_P4_ILLSINHA47_1.fq.gz,GC73_P4_ILLSINHA47_1.fq.gz,pass,5619005,gc73_4_warm_low_10_7_V3,gc73_4_warm_low_10_7_V3_V3_Primary_root,,B73,B73_,warm_NA_B73,B73_warm,low_warm,low_warm_B73
6.489200059,GC73_P4_ILLSINHA48,gc73,4,A6,ILLSINHA48,159.1,159,1,V3_Primary_root,gc73148,warm,low,9,2,F1,,V3,4/21/17,4/25/17,warm_9_2_V3,5/4/17,F1,H,gc73148_1,GC73_P4_ILLSINHA48_1.fq.gz,GC73_P4_ILLSINHA48_1.fq.gz,pass,4198327,gc73_4_warm_low_9_2_V3,gc73_4_warm_low_9_2_V3_V3_Primary_root,,H,F1_,warm_NA_H,H_warm,low_warm,low_warm_F1
