sample_id	accn_GID	testcross_GID
SEEDGWAS1192	6283	242263
SEEDGWAS1193	6475	242264
SEEDGWAS1194	6476	242265
SEEDGWAS1195	6477	242266
SEEDGWAS1196	6483	242267
SEEDGWAS1197	6684	242268
SEEDGWAS1198	6688	242269
SEEDGWAS1199	6690	242270
SEEDGWAS12	5519	241082
SEEDGWAS120	8917	241190
SEEDGWAS1200	6693	242271
SEEDGWAS1201	6748	242272
SEEDGWAS1202	6749	242273
SEEDGWAS1203	6750	242274
SEEDGWAS1204	6776	242275
SEEDGWAS1205	6778	242276
SEEDGWAS1206	6782	242277
SEEDGWAS1207	6783	242278
SEEDGWAS1208	6790	242279
SEEDGWAS1209	6795	242280
SEEDGWAS121	8972	241191
SEEDGWAS1210	6797	242281
SEEDGWAS1211	6933	242282
SEEDGWAS1212	6957	242283
SEEDGWAS1213	7086	242284
SEEDGWAS1214	7088	242285
SEEDGWAS1215	7157	242286
SEEDGWAS1216	7218	242287
SEEDGWAS1218	7251	242289
SEEDGWAS1219	7257	242290
SEEDGWAS122	9003	241192
SEEDGWAS1220	7258	242291
SEEDGWAS1221	7283	242292
SEEDGWAS1222	7344	242293
SEEDGWAS1223	7345	242294
SEEDGWAS1224	7346	242295
SEEDGWAS1225	7364	242296
SEEDGWAS1226	7391	242297
SEEDGWAS1227	7394	242298
SEEDGWAS1228	7406	242299
SEEDGWAS123	9051	241193
SEEDGWAS1230	7458	242301
SEEDGWAS1233	7466	242304
SEEDGWAS1234	7467	242305
SEEDGWAS1235	7468	242306
SEEDGWAS1236	7500	242307
SEEDGWAS1237	7503	242308
SEEDGWAS1238	7506	242309
SEEDGWAS1239	7543	242310
SEEDGWAS124	9354	241194
SEEDGWAS1240	7559	242311
SEEDGWAS1241	7616	242312
SEEDGWAS1242	7627	242313
SEEDGWAS1244	7630	242315
SEEDGWAS1246	7639	242317
SEEDGWAS1247	7662	242318
SEEDGWAS1248	7673	242319
SEEDGWAS1249	7684	242320
SEEDGWAS125	9368	241195
SEEDGWAS1250	7685	242321
SEEDGWAS1254	8134	242325
SEEDGWAS1255	8187	242326
SEEDGWAS1256	8201	242327
SEEDGWAS1257	8263	242328
SEEDGWAS1258	8265	242329
SEEDGWAS1259	8319	242330
SEEDGWAS1260	8339	242331
SEEDGWAS1261	8344	242332
SEEDGWAS1262	8354	242333
SEEDGWAS1263	8391	242334
SEEDGWAS1264	8908	242335
SEEDGWAS1265	8916	242336
SEEDGWAS1266	8955	242337
SEEDGWAS1267	9215	242338
SEEDGWAS1268	9347	242339
SEEDGWAS1269	9372	242340
SEEDGWAS127	9406	241197
SEEDGWAS1270	9373	242341
SEEDGWAS1271	9395	242342
SEEDGWAS1272	9399	242343
SEEDGWAS1274	9431	242345
SEEDGWAS1277	9521	242348
SEEDGWAS1278	9526	242349
SEEDGWAS1279	9538	242350
SEEDGWAS128	9458	241198
SEEDGWAS1280	9540	242351
SEEDGWAS1281	9546	242352
SEEDGWAS1282	9551	242353
SEEDGWAS1283	9555	242354
SEEDGWAS1284	9607	242355
SEEDGWAS1285	9616	242356
SEEDGWAS1286	9622	242357
SEEDGWAS1287	9623	242358
SEEDGWAS1289	9678	242360
SEEDGWAS129	9502	241199
SEEDGWAS1290	9758	242361
SEEDGWAS1291	9769	242362
SEEDGWAS1293	9798	242364
SEEDGWAS1294	9856	242365
SEEDGWAS1295	9857	242366
SEEDGWAS1296	10328	242367
SEEDGWAS1297	10367	242368
SEEDGWAS1298	10368	242369
SEEDGWAS1299	10373	242370
SEEDGWAS13	5528	241083
SEEDGWAS130	9510	241200
SEEDGWAS1300	11081	242371
SEEDGWAS1301	11183	242372
SEEDGWAS1302	11449	242373
SEEDGWAS1303	11629	242374
SEEDGWAS1304	11754	242375
SEEDGWAS1305	11771	242376
SEEDGWAS1306	11784	242377
SEEDGWAS1307	11786	242378
SEEDGWAS1308	11789	242379
